geneID,gene_name,gene_type
ENSMMUG00000050099,5S_rRNA,rRNA
ENSMMUG00000053289,5S_rRNA,rRNA
ENSMMUG00000050167,5S_rRNA,rRNA
ENSMMUG00000054394,5S_rRNA,rRNA
ENSMMUG00000050971,ENSMMUG00000050971,lncRNA
ENSMMUG00000026576,U6,snRNA
ENSMMUG00000050302,Metazoa_SRP,misc_RNA
ENSMMUG00000061587,U6,snRNA
ENSMMUG00000064992,Metazoa_SRP,misc_RNA
ENSMMUG00000025558,U1,snRNA
ENSMMUG00000060709,ENSMMUG00000060709,snoRNA
ENSMMUG00000035621,U1,snRNA
ENSMMUG00000050926,Y_RNA,Y_RNA
ENSMMUG00000047025,Metazoa_SRP,misc_RNA
ENSMMUG00000051961,U6,snRNA
ENSMMUG00000056846,ENSMMUG00000056846,lncRNA
ENSMMUG00000062726,ENSMMUG00000062726,lncRNA
ENSMMUG00000036728,ENSMMUG00000036728,scaRNA
ENSMMUG00000050964,Metazoa_SRP,misc_RNA
ENSMMUG00000065137,ENSMMUG00000065137,lncRNA
ENSMMUG00000057829,Y_RNA,Y_RNA
ENSMMUG00000061941,Metazoa_SRP,misc_RNA
ENSMMUG00000054812,Metazoa_SRP,misc_RNA
ENSMMUG00000059354,U6,snRNA
ENSMMUG00000054381,ENSMMUG00000054381,lncRNA
ENSMMUG00000055981,ENSMMUG00000055981,protein_coding
ENSMMUG00000052461,ENSMMUG00000052461,protein_coding
ENSMMUG00000058124,ENSMMUG00000058124,protein_coding
ENSMMUG00000060426,Metazoa_SRP,misc_RNA
ENSMMUG00000059666,U6,snRNA
ENSMMUG00000060006,ENSMMUG00000060006,snoRNA
ENSMMUG00000025681,U6,snRNA
ENSMMUG00000062580,ENSMMUG00000062580,protein_coding
ENSMMUG00000001382,GJA8,protein_coding
ENSMMUG00000043586,ID3,protein_coding
ENSMMUG00000052364,ENSMMUG00000052364,protein_coding
ENSMMUG00000052910,ENSMMUG00000052910,lncRNA
ENSMMUG00000064896,Metazoa_SRP,misc_RNA
ENSMMUG00000060928,ENSMMUG00000060928,protein_coding
ENSMMUG00000011380,CNST,protein_coding
ENSMMUG00000002585,CCDC190,protein_coding
ENSMMUG00000062933,ENSMMUG00000062933,lncRNA
ENSMMUG00000059690,ENSMMUG00000059690,protein_coding
ENSMMUG00000055490,TFB2M,protein_coding
ENSMMUG00000055003,ENSMMUG00000055003,lncRNA
ENSMMUG00000005777,SMYD3,protein_coding
ENSMMUG00000024556,U6,snRNA
ENSMMUG00000008153,NPR1,protein_coding
ENSMMUG00000017324,KIF26B,protein_coding
ENSMMUG00000050220,ENSMMUG00000050220,processed_pseudogene
ENSMMUG00000052401,Metazoa_SRP,misc_RNA
ENSMMUG00000059892,Metazoa_SRP,misc_RNA
ENSMMUG00000027317,U1,snRNA
ENSMMUG00000008847,SH2D5,protein_coding
ENSMMUG00000011424,EFCAB2,protein_coding
ENSMMUG00000057396,Metazoa_SRP,misc_RNA
ENSMMUG00000036930,U6,snRNA
ENSMMUG00000060683,mml-mir-7180,miRNA
ENSMMUG00000051140,U6,snRNA
ENSMMUG00000053368,ENSMMUG00000053368,protein_coding
ENSMMUG00000036090,U6,snRNA
ENSMMUG00000050136,Metazoa_SRP,misc_RNA
ENSMMUG00000060516,ENSMMUG00000060516,lncRNA
ENSMMUG00000021098,HNRNPU,protein_coding
ENSMMUG00000059986,ENSMMUG00000059986,protein_coding
ENSMMUG00000062668,U6,snRNA
ENSMMUG00000058292,ENSMMUG00000058292,lncRNA
ENSMMUG00000031175,COX20,protein_coding
ENSMMUG00000048085,ENSMMUG00000048085,lncRNA
ENSMMUG00000062648,ENSMMUG00000062648,protein_coding
ENSMMUG00000054073,ENSMMUG00000054073,pseudogene
ENSMMUG00000057626,ENSMMUG00000057626,protein_coding
ENSMMUG00000018525,PSEN2,protein_coding
ENSMMUG00000022310,DESI2,protein_coding
ENSMMUG00000058133,ENSMMUG00000058133,lncRNA
ENSMMUG00000052237,Metazoa_SRP,misc_RNA
ENSMMUG00000012031,COL8A2,protein_coding
ENSMMUG00000000021,CATSPERE,protein_coding
ENSMMUG00000008636,COQ8A,protein_coding
ENSMMUG00000050632,ADPRS,protein_coding
ENSMMUG00000021388,CIART,protein_coding
ENSMMUG00000062093,ENSMMUG00000062093,protein_coding
ENSMMUG00000000016,ADSS2,protein_coding
ENSMMUG00000012028,TEKT2,protein_coding
ENSMMUG00000010176,DTL,protein_coding
ENSMMUG00000000015,C1H1orf100,protein_coding
ENSMMUG00000058747,ENSMMUG00000058747,lncRNA
ENSMMUG00000059503,Metazoa_SRP,misc_RNA
ENSMMUG00000053405,Metazoa_SRP,misc_RNA
ENSMMUG00000058339,ENSMMUG00000058339,lncRNA
ENSMMUG00000041413,mml-mir-3122,miRNA
ENSMMUG00000006252,AGO3,protein_coding
ENSMMUG00000048772,ENSMMUG00000048772,lncRNA
ENSMMUG00000039543,Metazoa_SRP,misc_RNA
ENSMMUG00000053438,ENSMMUG00000053438,lncRNA
ENSMMUG00000047935,ENSMMUG00000047935,lncRNA
ENSMMUG00000011832,E2F2,protein_coding
ENSMMUG00000055596,Metazoa_SRP,misc_RNA
ENSMMUG00000008149,ILF2,protein_coding
ENSMMUG00000015664,ZBTB18,protein_coding
ENSMMUG00000061500,ENSMMUG00000061500,protein_coding
ENSMMUG00000019771,PPP2R5A,protein_coding
ENSMMUG00000063991,ENSMMUG00000063991,protein_coding
ENSMMUG00000058567,ENSMMUG00000058567,lncRNA
ENSMMUG00000055600,ENSMMUG00000055600,lncRNA
ENSMMUG00000058282,ENSMMUG00000058282,lncRNA
ENSMMUG00000044406,POU3F1,protein_coding
ENSMMUG00000049847,ENSMMUG00000049847,protein_coding
ENSMMUG00000026424,ENSMMUG00000026424,snoRNA
ENSMMUG00000055817,Metazoa_SRP,misc_RNA
ENSMMUG00000042021,ASAP3,protein_coding
ENSMMUG00000006251,AGO1,protein_coding
ENSMMUG00000002141,PACC1,protein_coding
ENSMMUG00000008836,DDOST,protein_coding
ENSMMUG00000002142,NENF,protein_coding
ENSMMUG00000019995,AKT3,protein_coding
ENSMMUG00000053224,SNAPIN,protein_coding
ENSMMUG00000015158,SLC6A9,protein_coding
ENSMMUG00000008835,PINK1,protein_coding
ENSMMUG00000008146,CHTOP,protein_coding
ENSMMUG00000064143,Metazoa_SRP,misc_RNA
ENSMMUG00000010977,TCEA3,protein_coding
ENSMMUG00000008145,S100A1,protein_coding
ENSMMUG00000056564,CDA,protein_coding
ENSMMUG00000015156,CCDC24,protein_coding
ENSMMUG00000057586,S100A13,protein_coding
ENSMMUG00000054804,Metazoa_SRP,misc_RNA
ENSMMUG00000003343,AGO4,protein_coding
ENSMMUG00000060391,ENSMMUG00000060391,protein_coding
ENSMMUG00000055518,S100A14,protein_coding
ENSMMUG00000025174,Y_RNA,Y_RNA
ENSMMUG00000057562,ENSMMUG00000057562,protein_coding
ENSMMUG00000015155,B4GALT2,protein_coding
ENSMMUG00000050796,FAM43B,protein_coding
ENSMMUG00000045106,S100A16,protein_coding
ENSMMUG00000061927,Metazoa_SRP,misc_RNA
ENSMMUG00000008638,CDC42BPA,protein_coding
ENSMMUG00000010973,ZNF436,protein_coding
ENSMMUG00000010978,S100A2,protein_coding
ENSMMUG00000051774,MUL1,protein_coding
ENSMMUG00000052045,Metazoa_SRP,misc_RNA
ENSMMUG00000019994,SDCCAG8,protein_coding
ENSMMUG00000050423,ENSMMUG00000050423,protein_coding
ENSMMUG00000031655,S100A3,protein_coding
ENSMMUG00000053265,ENSMMUG00000053265,protein_coding
ENSMMUG00000022884,GLUL,protein_coding
ENSMMUG00000063102,CAMK2N1,protein_coding
ENSMMUG00000010979,S100A4,protein_coding
ENSMMUG00000015150,DPH2,protein_coding
ENSMMUG00000010970,HNRNPR,protein_coding
ENSMMUG00000010980,S100A5,protein_coding
ENSMMUG00000064110,ENSMMUG00000064110,pseudogene
ENSMMUG00000008917,S100A6,protein_coding
ENSMMUG00000053474,Metazoa_SRP,misc_RNA
ENSMMUG00000022886,TEDDM1,protein_coding
ENSMMUG00000058556,U6,snRNA
ENSMMUG00000011221,FCAMR,protein_coding
ENSMMUG00000049444,ENSMMUG00000049444,lncRNA
ENSMMUG00000040678,Metazoa_SRP,misc_RNA
ENSMMUG00000006022,VWA5B1,protein_coding
ENSMMUG00000001803,GJA5,protein_coding
ENSMMUG00000010961,CLSPN,protein_coding
ENSMMUG00000059457,ENSMMUG00000059457,lncRNA
ENSMMUG00000022173,C1H1orf116,protein_coding
ENSMMUG00000047604,Metazoa_SRP,misc_RNA
ENSMMUG00000056485,ENSMMUG00000056485,protein_coding
ENSMMUG00000032222,HTR1D,protein_coding
ENSMMUG00000022171,YOD1,protein_coding
ENSMMUG00000061389,Metazoa_SRP,misc_RNA
ENSMMUG00000004833,ENSMMUG00000004833,protein_coding
ENSMMUG00000031291,RGSL1,protein_coding
ENSMMUG00000004835,ENSMMUG00000004835,protein_coding
ENSMMUG00000012185,ATF3,protein_coding
ENSMMUG00000036025,U6,snRNA
ENSMMUG00000056752,U6,snRNA
ENSMMUG00000052576,FAM71A,protein_coding
ENSMMUG00000005740,USP24,protein_coding
ENSMMUG00000047853,ENSMMUG00000047853,protein_coding
ENSMMUG00000045584,LUZP1,protein_coding
ENSMMUG00000013857,GCLM,protein_coding
ENSMMUG00000052341,ENSMMUG00000052341,lncRNA
ENSMMUG00000015142,IPO13,protein_coding
ENSMMUG00000004832,ENSMMUG00000004832,lncRNA
ENSMMUG00000022170,PFKFB2,protein_coding
ENSMMUG00000038517,UBXN10,protein_coding
ENSMMUG00000021387,C1H1orf54,protein_coding
ENSMMUG00000015056,BATF3,protein_coding
ENSMMUG00000044778,S100A8,protein_coding
ENSMMUG00000052344,PLA2G2C,protein_coding
ENSMMUG00000059270,C1orf216,protein_coding
ENSMMUG00000061945,U6,snRNA
ENSMMUG00000064796,S100A12,protein_coding
ENSMMUG00000006868,S100A9,protein_coding
ENSMMUG00000008435,DNTTIP2,protein_coding
ENSMMUG00000049733,PLA2G2F,protein_coding
ENSMMUG00000005634,RNASEL,protein_coding
ENSMMUG00000006865,PGLYRP4,protein_coding
ENSMMUG00000019287,NSL1,protein_coding
ENSMMUG00000013090,PSMB2,protein_coding
ENSMMUG00000058244,ENSMMUG00000058244,protein_coding
ENSMMUG00000052239,U6,snRNA
ENSMMUG00000053940,PGLYRP3,protein_coding
ENSMMUG00000064041,ENSMMUG00000064041,lncRNA
ENSMMUG00000032677,ENSMMUG00000032677,miRNA
ENSMMUG00000060204,Metazoa_SRP,misc_RNA
ENSMMUG00000053534,Metazoa_SRP,misc_RNA
ENSMMUG00000045550,PLA2G2D,protein_coding
ENSMMUG00000051554,Metazoa_SRP,misc_RNA
ENSMMUG00000022168,C4BPB,protein_coding
ENSMMUG00000009773,KDM1A,protein_coding
ENSMMUG00000042187,ENSMMUG00000042187,miRNA
ENSMMUG00000043598,LORICRIN,protein_coding
ENSMMUG00000055481,RGS16,protein_coding
ENSMMUG00000061167,ARTN,protein_coding
ENSMMUG00000045959,ENSMMUG00000045959,protein_coding
ENSMMUG00000019815,TFAP2E,protein_coding
ENSMMUG00000031430,TATDN3,protein_coding
ENSMMUG00000021750,PRR9,protein_coding
ENSMMUG00000064805,PLA2G5,protein_coding
ENSMMUG00000051645,ENSMMUG00000051645,lncRNA
ENSMMUG00000057430,ENSMMUG00000057430,protein_coding
ENSMMUG00000051591,ENSMMUG00000051591,protein_coding
ENSMMUG00000064352,ENSMMUG00000064352,protein_coding
ENSMMUG00000059169,SPATA45,protein_coding
ENSMMUG00000013738,C4BPA,protein_coding
ENSMMUG00000008990,RGS8,protein_coding
ENSMMUG00000021862,PLA2G2A,protein_coding
ENSMMUG00000049143,ENSMMUG00000049143,lncRNA
ENSMMUG00000037766,Metazoa_SRP,misc_RNA
ENSMMUG00000019812,NCDN,protein_coding
ENSMMUG00000015924,BCAR3,protein_coding
ENSMMUG00000055077,ENSMMUG00000055077,protein_coding
ENSMMUG00000050331,Metazoa_SRP,misc_RNA
ENSMMUG00000041086,Metazoa_SRP,misc_RNA
ENSMMUG00000011732,FLVCR1,protein_coding
ENSMMUG00000053964,PLA2G2E,protein_coding
ENSMMUG00000015555,ST3GAL3,protein_coding
ENSMMUG00000061474,ENSMMUG00000061474,protein_coding
ENSMMUG00000055316,ENSMMUG00000055316,lncRNA
ENSMMUG00000019914,CEP170,protein_coding
ENSMMUG00000020834,UTP11,protein_coding
ENSMMUG00000054857,ENSMMUG00000054857,lncRNA
ENSMMUG00000010764,OTUD3,protein_coding
ENSMMUG00000055798,ENSMMUG00000055798,processed_pseudogene
ENSMMUG00000036441,ENSMMUG00000036441,snoRNA
ENSMMUG00000064729,SPRR3,protein_coding
ENSMMUG00000057296,ENSMMUG00000057296,protein_coding
ENSMMUG00000011733,VASH2,protein_coding
ENSMMUG00000023624,Metazoa_SRP,misc_RNA
ENSMMUG00000015922,FNBP1L,protein_coding
ENSMMUG00000001264,BSDC1,protein_coding
ENSMMUG00000063702,ENSMMUG00000063702,protein_coding
ENSMMUG00000054613,RNF186,protein_coding
ENSMMUG00000008992,NPL,protein_coding
ENSMMUG00000016215,HIVEP3,protein_coding
ENSMMUG00000042618,IVL,protein_coding
ENSMMUG00000011711,CD55,protein_coding
ENSMMUG00000017740,SMCP,protein_coding
ENSMMUG00000019806,KIAA0319L,protein_coding
ENSMMUG00000011735,ANGEL2,protein_coding
ENSMMUG00000002492,TMCO4,protein_coding
ENSMMUG00000016214,EDN2,protein_coding
ENSMMUG00000037367,U6,snRNA
ENSMMUG00000055038,ENSMMUG00000055038,pseudogene
ENSMMUG00000054634,ENSMMUG00000054634,protein_coding
ENSMMUG00000044175,FOXO6,protein_coding
ENSMMUG00000051719,LCE1C,protein_coding
ENSMMUG00000027973,Y_RNA,Y_RNA
ENSMMUG00000052260,Metazoa_SRP,misc_RNA
ENSMMUG00000059561,ENSMMUG00000059561,protein_coding
ENSMMUG00000054650,ENSMMUG00000054650,lncRNA
ENSMMUG00000058472,ENSMMUG00000058472,protein_coding
ENSMMUG00000058332,TEX46,protein_coding
ENSMMUG00000043588,ENSMMUG00000043588,processed_pseudogene
ENSMMUG00000064604,Metazoa_SRP,misc_RNA
ENSMMUG00000056940,ENSMMUG00000056940,protein_coding
ENSMMUG00000062759,ENSMMUG00000062759,protein_coding
ENSMMUG00000062448,Metazoa_SRP,misc_RNA
ENSMMUG00000063749,HTR6,protein_coding
ENSMMUG00000050859,Y_RNA,Y_RNA
ENSMMUG00000055266,ENSMMUG00000055266,protein_coding
ENSMMUG00000041482,LACTBL1,protein_coding
ENSMMUG00000012479,KDM4A,protein_coding
ENSMMUG00000061742,Metazoa_SRP,misc_RNA
ENSMMUG00000051816,KPRP,protein_coding
ENSMMUG00000063085,Metazoa_SRP,misc_RNA
ENSMMUG00000005635,DHX9,protein_coding
ENSMMUG00000017104,SCMH1,protein_coding
ENSMMUG00000001966,C1H1orf68,pseudogene
ENSMMUG00000013602,CR2,protein_coding
ENSMMUG00000032231,ENSMMUG00000032231,protein_coding
ENSMMUG00000053960,Metazoa_SRP,misc_RNA
ENSMMUG00000016812,CCDC18,protein_coding
ENSMMUG00000049843,ENSMMUG00000049843,protein_coding
ENSMMUG00000062996,ENSMMUG00000062996,lncRNA
ENSMMUG00000004265,PLD5,protein_coding
ENSMMUG00000049286,ENSMMUG00000049286,protein_coding
ENSMMUG00000003581,TMIGD3,protein_coding
ENSMMUG00000053735,ENSMMUG00000053735,protein_coding
ENSMMUG00000023382,EPHB2,protein_coding
ENSMMUG00000017103,SLFNL1,protein_coding
ENSMMUG00000058094,ENSMMUG00000058094,protein_coding
ENSMMUG00000005210,RPS6KC1,protein_coding
ENSMMUG00000056808,ENSMMUG00000056808,pseudogene
ENSMMUG00000056341,TSSK3,protein_coding
ENSMMUG00000013596,CR1,protein_coding
ENSMMUG00000050804,ENSMMUG00000050804,protein_coding
ENSMMUG00000053498,ENSMMUG00000053498,protein_coding
ENSMMUG00000035346,U6,snRNA
ENSMMUG00000000352,FAM229A,protein_coding
ENSMMUG00000052516,U6,snRNA
ENSMMUG00000058456,CRCT1,protein_coding
ENSMMUG00000001967,LCE5A,protein_coding
ENSMMUG00000053723,ENSMMUG00000053723,protein_coding
ENSMMUG00000003579,C1H1orf162,protein_coding
ENSMMUG00000017101,CTPS1,protein_coding
ENSMMUG00000053323,ENSMMUG00000053323,lncRNA
ENSMMUG00000015081,SHCBP1L,protein_coding
ENSMMUG00000061598,ENSMMUG00000061598,protein_coding
ENSMMUG00000060345,BECN2,protein_coding
ENSMMUG00000009951,MARCKSL1,protein_coding
ENSMMUG00000009040,CRNN,protein_coding
ENSMMUG00000040888,CR1L,protein_coding
ENSMMUG00000052779,Metazoa_SRP,misc_RNA
ENSMMUG00000056511,ENSMMUG00000056511,lncRNA
ENSMMUG00000065322,ATP5PB,protein_coding
ENSMMUG00000045421,TMED5,protein_coding
ENSMMUG00000060445,ENSMMUG00000060445,lncRNA
ENSMMUG00000023145,RUSC1,protein_coding
ENSMMUG00000009948,HDAC1,protein_coding
ENSMMUG00000059472,FLG2,protein_coding
ENSMMUG00000059665,ENSMMUG00000059665,protein_coding
ENSMMUG00000008761,EXO1,protein_coding
ENSMMUG00000061947,ENSMMUG00000061947,snoRNA
ENSMMUG00000053610,Metazoa_SRP,misc_RNA
ENSMMUG00000015084,LAMC1,protein_coding
ENSMMUG00000063539,U4,snRNA
ENSMMUG00000058486,C1QB,protein_coding
ENSMMUG00000053934,Metazoa_SRP,misc_RNA
ENSMMUG00000064774,ENSMMUG00000064774,pseudogene
ENSMMUG00000055760,ENSMMUG00000055760,protein_coding
ENSMMUG00000063807,ENSMMUG00000063807,protein_coding
ENSMMUG00000021386,APH1A,protein_coding
ENSMMUG00000020756,C1QC,protein_coding
ENSMMUG00000016808,MTF2,protein_coding
ENSMMUG00000040694,LCK,protein_coding
ENSMMUG00000043675,CITED4,protein_coding
ENSMMUG00000006894,CAPZB,protein_coding
ENSMMUG00000013561,ACP6,protein_coding
ENSMMUG00000008763,WDR64,protein_coding
ENSMMUG00000063725,ENSMMUG00000063725,protein_coding
ENSMMUG00000007129,CD46,protein_coding
ENSMMUG00000019536,KCNQ4,protein_coding
ENSMMUG00000003309,OVGP1,protein_coding
ENSMMUG00000043775,mml-mir-6127,miRNA
ENSMMUG00000016786,BCL9,protein_coding
ENSMMUG00000062596,ENSMMUG00000062596,pseudogene
ENSMMUG00000053652,ENSMMUG00000053652,pseudogene
ENSMMUG00000058256,ENSMMUG00000058256,protein_coding
ENSMMUG00000005736,PCSK9,protein_coding
ENSMMUG00000039340,Metazoa_SRP,misc_RNA
ENSMMUG00000055285,Metazoa_SRP,misc_RNA
ENSMMUG00000065199,Y_RNA,Y_RNA
ENSMMUG00000020754,EPHA8,protein_coding
ENSMMUG00000001479,LAMC2,protein_coding
ENSMMUG00000019793,ZMYM4,protein_coding
ENSMMUG00000052469,Y_RNA,Y_RNA
ENSMMUG00000000476,FMO5,protein_coding
ENSMMUG00000023200,FHL3,protein_coding
ENSMMUG00000051332,ENSMMUG00000051332,lncRNA
ENSMMUG00000036946,U6,snRNA
ENSMMUG00000006892,SLC66A1,protein_coding
ENSMMUG00000014970,NFYC,protein_coding
ENSMMUG00000061825,U6,snRNA
ENSMMUG00000005669,OPN3,protein_coding
ENSMMUG00000040115,ENSMMUG00000040115,protein_coding
ENSMMUG00000043124,FAM167B,protein_coding
ENSMMUG00000045495,Metazoa_SRP,misc_RNA
ENSMMUG00000037178,U6,snRNA
ENSMMUG00000006119,EIF3I,protein_coding
ENSMMUG00000005668,KMO,protein_coding
ENSMMUG00000025420,Y_RNA,Y_RNA
ENSMMUG00000051071,Metazoa_SRP,misc_RNA
ENSMMUG00000051142,LDLRAP1,protein_coding
ENSMMUG00000057445,ENSMMUG00000057445,protein_coding
ENSMMUG00000018618,ZBTB40,protein_coding
ENSMMUG00000050205,ENSMMUG00000050205,lncRNA
ENSMMUG00000008453,TMEM234,protein_coding
ENSMMUG00000005073,DIPK1A,protein_coding
ENSMMUG00000005735,BSND,protein_coding
ENSMMUG00000061293,ENSMMUG00000061293,lncRNA
ENSMMUG00000053581,PIFO,protein_coding
ENSMMUG00000026958,ENSMMUG00000026958,miRNA
ENSMMUG00000023199,SF3A3,protein_coding
ENSMMUG00000026847,mml-mir-29b-2,miRNA
ENSMMUG00000011914,PROX1,protein_coding
ENSMMUG00000051009,ENSMMUG00000051009,protein_coding
ENSMMUG00000057466,ENSMMUG00000057466,protein_coding
ENSMMUG00000008552,TMEM61,protein_coding
ENSMMUG00000009024,CHD1L,protein_coding
ENSMMUG00000025705,ENSMMUG00000025705,snoRNA
ENSMMUG00000008857,CHIA,protein_coding
ENSMMUG00000005667,FH,protein_coding
ENSMMUG00000006697,AKR7A2,protein_coding
ENSMMUG00000061360,Metazoa_SRP,misc_RNA
ENSMMUG00000005072,RPL5,protein_coding
ENSMMUG00000026870,mml-mir-30c-1,miRNA
ENSMMUG00000002454,ENSMMUG00000002454,protein_coding
ENSMMUG00000017718,IQCC,protein_coding
ENSMMUG00000001481,NMNAT2,protein_coding
ENSMMUG00000054974,ENSMMUG00000054974,protein_coding
ENSMMUG00000015133,CD34,protein_coding
ENSMMUG00000032681,mml-mir-30e,miRNA
ENSMMUG00000026648,SNORA66,snoRNA
ENSMMUG00000021577,DHCR24,protein_coding
ENSMMUG00000028449,SNORD21,snoRNA
ENSMMUG00000057010,ENSMMUG00000057010,lncRNA
ENSMMUG00000018014,MACO1,protein_coding
ENSMMUG00000015631,SMYD2,protein_coding
ENSMMUG00000039139,RIMS3,protein_coding
ENSMMUG00000054776,ENSMMUG00000054776,protein_coding
ENSMMUG00000046184,ENSMMUG00000046184,protein_coding
ENSMMUG00000002455,CHI3L2,protein_coding
ENSMMUG00000021575,LEXM,protein_coding
ENSMMUG00000012221,PRKAB2,protein_coding
ENSMMUG00000060685,ENSMMUG00000060685,lncRNA
ENSMMUG00000057015,Metazoa_SRP,misc_RNA
ENSMMUG00000061582,Metazoa_SRP,misc_RNA
ENSMMUG00000056473,ENSMMUG00000056473,lncRNA
ENSMMUG00000015632,PTPN14,protein_coding
ENSMMUG00000012477,PTPRF,protein_coding
ENSMMUG00000058111,U6,snRNA
ENSMMUG00000059358,ENSMMUG00000059358,protein_coding
ENSMMUG00000050315,ENSMMUG00000050315,protein_coding
ENSMMUG00000010729,RGS7,protein_coding
ENSMMUG00000028051,U1,snRNA
ENSMMUG00000061414,WNT4,protein_coding
ENSMMUG00000040207,DCDC2B,protein_coding
ENSMMUG00000006891,AKR7A3,protein_coding
ENSMMUG00000054758,ENSMMUG00000054758,lncRNA
ENSMMUG00000056255,ENSMMUG00000056255,protein_coding
ENSMMUG00000005070,EVI5,protein_coding
ENSMMUG00000049415,ENSMMUG00000049415,lncRNA
ENSMMUG00000050602,ENSMMUG00000050602,protein_coding
ENSMMUG00000057342,U1,snRNA
ENSMMUG00000023277,INPP5B,protein_coding
ENSMMUG00000011156,RHCE,protein_coding
ENSMMUG00000049315,U1,snRNA
ENSMMUG00000004563,PLXNA2,protein_coding
