name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Neisseria lactamica,486,S,62,29,91,6.24E-05
Neisseria mucosa,488,S,40,41,81,5.55E-05
Neisseria sicca,490,S,35,44,79,5.42E-05
Neisseria sp. 10023,1853278,S,16,3,19,1.30E-05
Neisseriaceae bacterium DSM 100970,2052837,S,1910,218,2128,0.001458647
Vitreoscilla filiformis,63,S,620,434,1054,0.000722469
Vitreoscilla sp. C1,96942,S,124,26,150,0.000102818
Eikenella corrodens,539,S,62,38,100,6.85E-05
Snodgrassella alvi,1196083,S,44,11,55,3.77E-05
Crenobacter sp. K1W11S-77,2290923,S,24,22,46,3.15E-05
Simonsiella muelleri,72,S,22,6,28,1.92E-05
Microvirgula aerodenitrificans,57480,S,193,224,417,0.000285835
Aquaspirillum sp. LM1,1938604,S,158,136,294,0.000201524
Laribacter hongkongensis,168471,S,67,132,199,0.000136405
Jeongeupia sp. USM3,1906741,S,65,74,139,9.53E-05
Aquitalea magnusonii,332411,S,33,48,81,5.55E-05
Vogesella sp. LIG4,1192162,S,11,23,34,2.33E-05
Dechloromonas sp. HYN0024,2231055,S,235,782,1017,0.000697107
Dechloromonas aromatica,259537,S,67,187,254,0.000174105
Thauera humireducens,1134435,S,191,425,616,0.00042224
Thauera sp. MZ1T,85643,S,119,388,507,0.000347525
Thauera sp. K11,2005884,S,68,148,216,0.000148058
Azoarcus sp. SY39,2067960,S,41,56,97,6.65E-05
Azoarcus sp. CIB,198107,S,28,77,105,7.20E-05
Azoarcus communis,41977,S,21,31,52,3.56E-05
Azospira oryzae,146939,S,201,251,452,0.000309825
Aromatoleum aromaticum,551760,S,49,135,184,0.000126124
Candidatus Kinetoplastibacterium oncopeltii,994696,S,53,209,262,0.000179589
Candidatus Kinetoplastibacterium sorsogonicusi,1576550,S,39,49,88,6.03E-05
Candidatus Kinetoplastibacterium crithidii,33056,S,20,-20,0,0
Candidatus Accumulibacter phosphatis,327160,S,216,50,266,0.000182331
Betaproteobacteria bacterium GR16-43,1904640,S,134,41,175,0.000119955
Candidatus Profftella armatura,669502,S,126,33,159,0.000108987
Candidatus Nasuia deltocephalinicola,1160784,S,50,10,60,4.11E-05
Candidatus Tremblaya princeps,189385,S,17,-17,0,0
Halomonas sp. JS92-SW72,2306583,S,65218,10685,75903,0.052028054
Candidatus Evansia muelleri,1495769,S,131,8,139,9.53E-05
Candidatus Portiera aleyrodidarum,91844,S,97,9,106,7.27E-05
Zymobacter palmae,33074,S,70,13,83,5.69E-05
Candidatus Carsonella ruddii,114186,S,55,7,62,4.25E-05
Chromohalobacter salexigens,158080,S,26,2,28,1.92E-05
Halotalea alkalilenta,376489,S,20,12,32,2.19E-05
Alcanivorax sp. N3-2A,2014542,S,1347,826,2173,0.001489493
Alcanivorax pacificus,1306787,S,23,4,27,1.85E-05
Ketobacter alkanivorans,1917421,S,28,3,31,2.12E-05
Marinomonas mediterranea,119864,S,22,20,42,2.88E-05
Oleispira antarctica,188908,S,52,2,54,3.70E-05
Thalassolituus oleivorans,187493,S,42,4,46,3.15E-05
Bacterioplanes sanyensis,1249553,S,17,0,17,1.17E-05
Reinekea forsetii,1336806,S,42,1,43,2.95E-05
Kangiella geojedonensis,914150,S,10,42,52,3.56E-05
Hahella chejuensis,158327,S,42,1,43,2.95E-05
Pseudomonas tolaasii,29442,S,11303,3406,14709,0.010082351
Pseudomonas fluorescens,294,S,104,103,207,0.000141889
Pseudomonas veronii,76761,S,20,49,69,4.73E-05
Pseudomonas synxantha,47883,S,19,7,26,1.78E-05
Pseudomonas mucidolens,46679,S,15,3,18,1.23E-05
Pseudomonas protegens,380021,S,11,4,15,1.03E-05
Pseudomonas stutzeri,316,S,4263,1799,6062,0.004155225
Pseudomonas balearica,74829,S,67,43,110,7.54E-05
Pseudomonas aeruginosa,287,S,181,5572,5753,0.00394342
Pseudomonas mendocina,300,S,96,38,134,9.19E-05
Pseudomonas furukawaii,1149133,S,38,11,49,3.36E-05
Pseudomonas pseudoalcaligenes,330,S,19,83,102,6.99E-05
Pseudomonas alcaligenes,43263,S,28,7,35,2.40E-05
Pseudomonas sp. R2A2,2213057,S,288,168,456,0.000312567
Pseudomonas putida,303,S,180,355,535,0.000366718
Pseudomonas oryzihabitans,47885,S,29,5,34,2.33E-05
Pseudomonas plecoglossicida,70775,S,15,20,35,2.40E-05
Pseudomonas chlororaphis,587753,S,88,98,186,0.000127495
Pseudomonas fragi,296,S,49,132,181,0.000124067
Pseudomonas taetrolens,47884,S,24,4,28,1.92E-05
Pseudomonas psychrotolerans,237610,S,73,13,86,5.89E-05
Pseudomonas sp. CC6-YY-74,1930532,S,56,9,65,4.46E-05
Pseudomonas syringae,317,S,23,36,59,4.04E-05
Pseudomonas cichorii,36746,S,12,2,14,9.60E-06
Pseudomonas sp. B10,118613,S,30,45,75,5.14E-05
Pseudomonas sp. S-6-2,1931241,S,24,2,26,1.78E-05
Pseudomonas sabulinigri,472181,S,24,1,25,1.71E-05
Pseudomonas sp. TCU-HL1,1856685,S,21,4,25,1.71E-05
Pseudomonas sp. MT-1,150396,S,21,40,61,4.18E-05
Pseudomonas litoralis,797277,S,21,10,31,2.12E-05
Pseudomonas umsongensis,198618,S,20,6,26,1.78E-05
Pseudomonas sp. SWI6,2083051,S,19,320,339,0.000232369
Pseudomonas sp. phDV1,253237,S,18,82,100,6.85E-05
Pseudomonas sihuiensis,1274359,S,17,29,46,3.15E-05
Pseudomonas koreensis,198620,S,17,12,29,1.99E-05
Pseudomonas sp. WCS374,1495331,S,16,596,612,0.000419498
Pseudomonas sp. TMW 2.1634,1886807,S,16,109,125,8.57E-05
Pseudomonas sp. 02C 26,2054914,S,14,3,17,1.17E-05
Pseudomonas rhizosphaerae,216142,S,14,2,16,1.10E-05
Pseudomonas psychrophila,122355,S,13,3,16,1.10E-05
Pseudomonas silesiensis,1853130,S,12,4,16,1.10E-05
Oblitimonas alkaliphila,1697053,S,41,12,53,3.63E-05
Acinetobacter sp. SWBY1,2079596,S,359,477,836,0.00057304
Acinetobacter baumannii,470,S,55,6480,6535,0.004479445
Acinetobacter pittii,48296,S,20,56,76,5.21E-05
Acinetobacter junii,40215,S,300,590,890,0.000610055
Acinetobacter johnsonii,40214,S,214,3128,3342,0.002290789
Acinetobacter schindleri,108981,S,115,291,406,0.000278295
Acinetobacter sp. WCHA45,2004644,S,93,251,344,0.000235796
Acinetobacter venetianus,52133,S,80,126,206,0.000141204
Acinetobacter sp. TTH0-4,1646498,S,73,57,130,8.91E-05
Acinetobacter indicus,756892,S,67,104,171,0.000117213
Acinetobacter sp. ACNIH1,1636603,S,66,194,260,0.000178218
Acinetobacter bereziniae,106648,S,64,20,84,5.76E-05
Acinetobacter haemolyticus,29430,S,62,90,152,0.000104189
Acinetobacter radioresistens,40216,S,42,28,70,4.80E-05
Acinetobacter sp. ACNIH2,1758189,S,39,53,92,6.31E-05
Acinetobacter lwoffii,28090,S,34,159,193,0.000132293
Acinetobacter sp. WCHAc010034,1879049,S,31,30,61,4.18E-05
Acinetobacter sp. WCHA55,2004646,S,28,113,141,9.66E-05
Acinetobacter wuhouensis,1879050,S,26,33,59,4.04E-05
Acinetobacter equi,1324350,S,18,7,25,1.71E-05
Acinetobacter sp. NCu2D-2,1608473,S,17,17,34,2.33E-05
Acinetobacter sp. ADP1,62977,S,16,9,25,1.71E-05
Moraxella osloensis,34062,S,2828,3284,6112,0.004189498
Moraxella catarrhalis,480,S,315,126,441,0.000302285
Moraxella bovoculi,386891,S,39,522,561,0.00038454
Moraxella bovis,476,S,29,48,77,5.28E-05
Psychrobacter alimentarius,261164,S,125,658,783,0.000536711
Psychrobacter sp. AntiMn-1,1720344,S,75,367,442,0.000302971
Psychrobacter urativorans,45610,S,62,161,223,0.000152856
Psychrobacter sp. P11F6,1699621,S,10,59,69,4.73E-05
Moraxellaceae bacterium HYN0046,2283318,S,377,53,430,0.000294745
Escherichia coli,562,S,447,30617,31064,0.021292959
Escherichia albertii,208962,S,97,22,119,8.16E-05
Raoultella ornithinolytica,54291,S,305,167,472,0.000323535
Candidatus Blochmannia vafer,251535,S,62,48,110,7.54E-05
Candidatus Hoaglandella endobia,1778263,S,40,4,44,3.02E-05
secondary endosymbiont of Trabutina mannipara,1835721,S,23,19,42,2.88E-05
Candidatus Purcelliella pentastirinorum,472834,S,17,2,19,1.30E-05
Plautia stali symbiont,891974,S,26,1,27,1.85E-05
Enterobacteriaceae bacterium strain FGI 57,693444,S,22,5,27,1.85E-05
Klebsiella pneumoniae,573,S,198,547,745,0.000510664
Klebsiella aerogenes,548,S,29,5,34,2.33E-05
Klebsiella oxytoca,571,S,23,17,40,2.74E-05
Salmonella enterica,28901,S,184,3990,4174,0.002861087
Enterobacter cloacae,550,S,37,61,98,6.72E-05
Enterobacter hormaechei,158836,S,23,109,132,9.05E-05
Enterobacter sp. SA187,1914861,S,28,2,30,2.06E-05
Citrobacter freundii,546,S,18,46,64,4.39E-05
Kosakonia cowanii,208223,S,31,2,33,2.26E-05
Candidatus Riesia pediculicola,401619,S,18,11,29,1.99E-05
Morganella morganii,582,S,1248,234,1482,0.001015844
Proteus mirabilis,584,S,56,31,87,5.96E-05
Xenorhabdus doucetiae,351671,S,25,2,27,1.85E-05
Providencia alcalifaciens,126385,S,19,3,22,1.51E-05
Candidatus Arsenophonus lipoptenae,634113,S,14,0,14,9.60E-06
Photorhabdus asymbiotica,291112,S,10,1,11,7.54E-06
Buchnera aphidicola,9,S,596,-339,257,0.000176162
Pantoea sp. At-9b,592316,S,204,19,223,0.000152856
Pantoea agglomerans,549,S,67,21,88,6.03E-05
Candidatus Pantoea carbekii,1235990,S,48,3,51,3.50E-05
Pantoea ananatis,553,S,28,3,31,2.12E-05
Pantoea sp. PSNIH1,1484158,S,16,11,27,1.85E-05
Pantoea vagans,470934,S,11,2,13,8.91E-06
Erwinia gerundensis,1619313,S,30,6,36,2.47E-05
Candidatus Erwinia sp. ErCipseudotaxifoliae,1922217,S,28,0,28,1.92E-05
Tatumella ptyseos,82987,S,33,4,37,2.54E-05
Wigglesworthia glossinidia,51229,S,20,0,20,1.37E-05
Serratia marcescens,615,S,76,52,128,8.77E-05
Serratia plymuthica,82996,S,55,93,148,0.000101447
Serratia liquefaciens,614,S,30,3,33,2.26E-05
Serratia sp. FGI94,671990,S,19,3,22,1.51E-05
Yersinia pestis,632,S,94,34666,34760,0.023826399
Yersinia enterocolitica,630,S,20,11,31,2.12E-05
Candidatus Fukatsuia symbiotica,1878942,S,57,8,65,4.46E-05
Rahnella sp. ERMR1:05,1805933,S,14,17,31,2.12E-05
Pectobacterium carotovorum,554,S,32,136,168,0.000115156
Pectobacterium parmentieri,1905730,S,17,62,79,5.42E-05
Sodalis praecaptivus,1239307,S,43,603,646,0.000442804
Candidatus Sodalis pierantonius,1486991,S,27,5,32,2.19E-05
Sodalis endosymbiont of Henestaris halophilus,1929246,S,16,0,16,1.10E-05
Obesumbacterium proteus,82983,S,53,23,76,5.21E-05
Edwardsiella ictaluri,67780,S,14,55,69,4.73E-05
Hafnia alvei,569,S,18,12,30,2.06E-05
Plesiomonas shigelloides,703,S,13,2,15,1.03E-05
Stenotrophomonas maltophilia,40324,S,293,817,1110,0.000760855
Stenotrophomonas sp. YAU14D1_LEIMI4_1,2072407,S,24,84,108,7.40E-05
Stenotrophomonas sp. Pemsol,2040586,S,103,263,366,0.000250876
Stenotrophomonas rhizophila,216778,S,43,45,88,6.03E-05
Stenotrophomonas acidaminiphila,128780,S,41,72,113,7.75E-05
Stenotrophomonas sp. LM091,1904944,S,32,49,81,5.55E-05
Pseudoxanthomonas suwonensis,314722,S,441,658,1099,0.000753315
Pseudoxanthomonas spadix,415229,S,21,26,47,3.22E-05
Lysobacter maris,1605891,S,129,117,246,0.000168622
Lysobacter sp. TY2-98,2290922,S,83,42,125,8.57E-05
Lysobacter enzymogenes,69,S,29,43,72,4.94E-05
Luteimonas sp. 100111,2006110,S,105,103,208,0.000142575
Luteimonas sp. 83-4,2172536,S,71,77,148,0.000101447
Luteimonas sp. JM171,1896164,S,25,25,50,3.43E-05
Xanthomonas campestris,339,S,62,85,147,0.000100762
Xanthomonas euvesicatoria,456327,S,27,95,122,8.36E-05
Xylella fastidiosa,2371,S,11,3,14,9.60E-06
Dokdonella koreensis,323415,S,153,105,258,0.000176847
Frateuria aurantia,81475,S,86,50,136,9.32E-05
Ahniella affigens,2021234,S,79,5,84,5.76E-05
Luteibacter rhizovicinus,242606,S,59,29,88,6.03E-05
Cellvibrio sp. PSBB023,1945512,S,814,581,1395,0.000956209
Cellvibrio japonicus,155077,S,244,177,421,0.000288576
Cellvibrio sp. PSBB006,1987723,S,136,73,209,0.00014326
Saccharophagus degradans,86304,S,87,36,123,8.43E-05
Simiduia agarivorans,447471,S,80,32,112,7.68E-05
Teredinibacter turnerae,2426,S,49,27,76,5.21E-05
Agarilytica rhodophyticola,1737490,S,41,8,49,3.36E-05
Spongiibacter sp. IMCC21906,1620392,S,31,58,89,6.10E-05
Oceanicoccus sagamiensis,716816,S,31,3,34,2.33E-05
Zhongshania aliphaticivorans,1470434,S,19,2,21,1.44E-05
Halioglobus pacificus,930806,S,19,15,34,2.33E-05
Congregibacter litoralis,393662,S,26,61,87,5.96E-05
Microbulbifer thermotolerans,252514,S,16,17,33,2.26E-05
Aeromonas veronii,654,S,244,157,401,0.000274867
Aeromonas hydrophila,644,S,138,378,516,0.000353695
Aeromonas salmonicida,645,S,63,1067,1130,0.000774564
Aeromonas sp. ASNIH2,1636607,S,53,440,493,0.000337929
Aeromonas sp. CU5,2033033,S,40,19,59,4.04E-05
Aeromonas schubertii,652,S,20,6,26,1.78E-05
Aeromonas caviae,648,S,18,106,124,8.50E-05
Aeromonas media,651,S,14,19,33,2.26E-05
Tolumonas auensis,43948,S,143,37,180,0.000123382
Pasteurella multocida,747,S,1110,8726,9836,0.006742131
Haemophilus parainfluenzae,729,S,56,14,70,4.80E-05
Haemophilus haemolyticus,726,S,19,10,29,1.99E-05
Haemophilus influenzae,727,S,17,98,115,7.88E-05
Mannheimia haemolytica,75985,S,51,28,79,5.42E-05
Gallibacterium anatis,750,S,64,7,71,4.87E-05
Aggregatibacter actinomycetemcomitans,714,S,37,28,65,4.46E-05
Histophilus somni,731,S,11,3,14,9.60E-06
Shewanella baltica,62322,S,59,956,1015,0.000695736
Shewanella pealeana,70864,S,56,11,67,4.59E-05
Shewanella algae,38313,S,25,12,37,2.54E-05
Shewanella sp. WE21,2029986,S,25,8,33,2.26E-05
Shewanella japonica,93973,S,15,1,16,1.10E-05
Shewanella sp. ANA-3,94122,S,12,9,21,1.44E-05
Pseudoalteromonas rubra,43658,S,35,5,40,2.74E-05
Pseudoalteromonas piscicida,43662,S,30,11,41,2.81E-05
Pseudoalteromonas sp. SM9913,234831,S,30,196,226,0.000154913
Pseudoalteromonas sp. NC201,1514074,S,28,22,50,3.43E-05
Pseudoalteromonas tunicata,314281,S,22,4,26,1.78E-05
Pseudoalteromonas donghaensis,621376,S,13,2,15,1.03E-05
Marinobacter sp. LQ44,1749259,S,19,41,60,4.11E-05
Marinobacter sp. Arc7-DN-1,2304594,S,17,19,36,2.47E-05
Catenovulum sp. CCB-QB4,2172099,S,96,11,107,7.33E-05
Alteromonas australica,589873,S,15,16,31,2.12E-05
Agarivorans gilvus,680279,S,28,3,31,2.12E-05
Salinimonas sp. N102,2303538,S,10,3,13,8.91E-06
Idiomarinaceae bacterium HL-53,1298881,S,28,10,38,2.60E-05
Moritella viscosa,80854,S,19,6,25,1.71E-05
Steroidobacter denitrificans,465721,S,996,220,1216,0.000833513
Solimonas sp. K1W22B-7,2303331,S,687,61,748,0.00051272
Thiohalobacter thiocyanaticus,585455,S,435,74,509,0.000348896
endosymbiont of unidentified scaly snail isolate Monju,1248727,S,104,21,125,8.57E-05
gamma proteobacterium HdN1,83406,S,76,5,81,5.55E-05
Gammaproteobacteria bacterium DM2,2169539,S,45,4,49,3.36E-05
Gammaproteobacteria bacterium ESL0073,2070539,S,18,1,19,1.30E-05
Candidatus Baumannia cicadellinicola,186490,S,175,12,187,0.00012818
Candidatus Thioglobus singularis,1427364,S,71,26,97,6.65E-05
Candidatus Thioglobus autotrophicus,1705394,S,16,13,29,1.99E-05
Candidatus Ruthia magnifica,386487,S,31,49,80,5.48E-05
Bathymodiolus septemdierum thioautotrophic gill symbiont,113267,S,15,12,27,1.85E-05
Thiolapillus brandeum,1076588,S,27,2,29,1.99E-05
Gallaecimonas sp. HK-28,2291597,S,23,2,25,1.71E-05
Sedimenticola thiotaurini,1543721,S,17,1,18,1.23E-05
Pseudohongiella spirulinae,1249552,S,16,0,16,1.10E-05
Legionella endosymbiont of Polyplax serrata,2005262,S,84,5,89,6.10E-05
Legionella fallonii,96230,S,80,3,83,5.69E-05
Legionella oakridgensis,29423,S,51,2,53,3.63E-05
Legionella clemsonensis,1867846,S,51,3,54,3.70E-05
Legionella waltersii,66969,S,46,2,48,3.29E-05
Legionella hackeliae,449,S,16,1,17,1.17E-05
Legionella pneumophila,446,S,13,1239,1252,0.000858189
Tatlockia micdadei,451,S,39,2,41,2.81E-05
Coxiella burnetii,777,S,65,67,132,9.05E-05
Coxiella endosymbiont of Amblyomma americanum,325775,S,41,46,87,5.96E-05
Vibrio cholerae,666,S,188,3211,3399,0.00232986
Vibrio campbellii,680,S,58,8,66,4.52E-05
Vibrio natriegens,691,S,43,19,62,4.25E-05
Vibrio parahaemolyticus,670,S,30,33,63,4.32E-05
Vibrio vulnificus,672,S,121,59,180,0.000123382
Vibrio coralliilyticus,190893,S,56,4,60,4.11E-05
Vibrio tritonius,1435069,S,14,2,16,1.10E-05
Photobacterium profundum,74109,S,141,17,158,0.000108302
Photobacterium damselae,38293,S,58,23,81,5.55E-05
Aliivibrio wodanis,80852,S,22,16,38,2.60E-05
Candidatus Thiodictyon syntrophicum,1166950,S,138,33,171,0.000117213
Nitrosococcus oceani,1229,S,28,32,60,4.11E-05
