name,rank,species
cellular organisms,no rank,Verrucomicrobia bacterium
unclassified Verrucomicrobia,no rank,Verrucomicrobia bacterium
cellular organisms,no rank,Verrucomicrobia bacterium IMCC26134
unclassified Verrucomicrobia,no rank,Verrucomicrobia bacterium IMCC26134
cellular organisms,no rank,Verrucomicrobium sp. GAS474
unclassified Verrucomicrobium,no rank,Verrucomicrobium sp. GAS474
cellular organisms,no rank,Verrucomicrobium spinosum
cellular organisms,no rank,Vibrio cholerae
cellular organisms,no rank,Vibrio vulnificus
cellular organisms,no rank,Vitreoscilla filiformis
cellular organisms,no rank,Weeksella virosa
cellular organisms,no rank,Winogradskyella sp. PG-2
unclassified Winogradskyella,no rank,Winogradskyella sp. PG-2
cellular organisms,no rank,Xanthobacter autotrophicus
cellular organisms,no rank,Xanthomonas citri
cellular organisms,no rank,Yersinia pestis
cellular organisms,no rank,Yoonia vestfoldensis
cellular organisms,no rank,Zoogloeaceae bacteirum Par-f-2
unclassified Zoogloeaceae,no rank,Zoogloeaceae bacteirum Par-f-2
Synechococcales,order,Acaryochloris marina
Rhodospirillales,order,Acetobacter pomorum
Acidimicrobiales,order,Acidimicrobium ferrooxidans
Burkholderiales,order,Acidovorax avenae
Burkholderiales,order,Acidovorax carolinensis
Burkholderiales,order,Acidovorax ebreus
Burkholderiales,order,Acidovorax sp. JS42
Burkholderiales,order,Acidovorax sp. KKS102
Burkholderiales,order,Acidovorax sp. T1
Moraxellales,order,Acinetobacter
Moraxellales,order,Acinetobacter baumannii
Moraxellales,order,Acinetobacter haemolyticus
Moraxellales,order,Acinetobacter indicus
Moraxellales,order,Acinetobacter johnsonii
Moraxellales,order,Acinetobacter junii
Moraxellales,order,Acinetobacter lwoffii
Moraxellales,order,Acinetobacter schindleri
Moraxellales,order,Acinetobacter sp. ACNIH1
Moraxellales,order,Acinetobacter sp. NCu2D-2
Moraxellales,order,Acinetobacter sp. SWBY1
Moraxellales,order,Acinetobacter sp. TTH0-4
Moraxellales,order,Acinetobacter sp. WCHA45
Moraxellales,order,Acinetobacter sp. WCHAc010034
Actinomycetales,order,Actinomyces hongkongensis
Actinomycetales,order,Actinomyces oris
Micromonosporales,order,Actinoplanes derwentensis
Micromonosporales,order,Actinoplanes sp. SE50
Micromonosporales,order,Actinoplanes sp. SE50/110
Actinopolysporales,order,Actinopolyspora erythraea
Lactobacillales,order,Aerococcus urinaehominis
Aeromonadales,order,Aeromonas hydrophila
Aeromonadales,order,Aeromonas salmonicida
Aeromonadales,order,Aeromonas sp. ASNIH4
Hyphomicrobiales,order,Agrobacterium vitis
Micrococcales,order,Agrococcus carbonis
Micrococcales,order,Agrococcus jejuensis
Verrucomicrobiales,order,Akkermansia muciniphila
Oceanospirillales,order,Alcanivorax sp. N3-2A
Burkholderiales,order,Alicycliphilus denitrificans
Campylobacterales,order,Aliiarcobacter skirrowii
Bacteroidales,order,Alistipes shahii
Marinilabiliales,order,Alkalitalea saponilacus
Sphingomonadales,order,Altererythrobacter sp. B11
Alteromonadales,order,Alteromonas mediterranea
Nostocales,order,Anabaena cylindrica
Nostocales,order,Anabaena sp. WA102
Tissierellales,order,Anaerococcus mediterraneensis
Tissierellales,order,Anaerococcus prevotii
Anaerolineales,order,Anaerolinea thermophila
Myxococcales,order,Anaeromyxobacter sp. Fw109-5
Eubacteriales,order,Anaerostipes hadrus
Burkholderiales,order,Aquabacterium olei
Neisseriales,order,Aquaspirillum sp. LM1
Chitinophagales,order,Arachidicoccus sp. BS20
Chitinophagales,order,Arachidicoccus sp. KIS59-12
Actinomycetales,order,Arcanobacterium haemolyticum
Flavobacteriales,order,Arenibacter algicola
Rhodocyclales,order,Aromatoleum aromaticum
Micrococcales,order,Arthrobacter sp. Rue61a
Micrococcales,order,Arthrobacter sp. YC-RL1
Caulobacterales,order,Asticcacaulis excentricus
Micrococcales,order,Aurantimicrobium sp. MWH-Mo1
Rhodocyclales,order,Azoarcus communis
Rhodocyclales,order,Azoarcus sp. CIB
Rhodocyclales,order,Azospira oryzae
Ortervirales,order,Baboon endogenous virus
Bacillales,order,Bacillus anthracis
Bacillales,order,Bacillus atrophaeus
Bacillales,order,Bacillus cereus
Bacillales,order,Bacillus sp. FJAT-14266
Bacillales,order,Bacillus sp. Lzh-5
Bacillales,order,Bacillus subtilis
Bacillales,order,Bacillus thuringiensis
Bacillales,order,Bacillus velezensis
Bacteriovoracales,order,Bacteriovorax stolpii
Bacteroidales,order,Bacteroides dorei
Bacteroidales,order,Bacteroides fragilis
Bacteroidales,order,Bacteroides ovatus
Bacteroidales,order,Bacteroides salanitronis
Bacteroidales,order,Bacteroides vulgatus
Bacteroidales,order,Barnesiella viscericola
Hyphomicrobiales,order,Bartonella sp. 11B
Hyphomicrobiales,order,Bartonella sp. Coyote22sub2
Bdellovibrionales,order,Bdellovibrio bacteriovorus
Bdellovibrionales,order,Bdellovibrio exovorus
Cytophagales,order,Bernardetia litoralis
Micrococcales,order,Beutenbergia cavernae
Bifidobacteriales,order,Bifidobacterium animalis
Bifidobacteriales,order,Bifidobacterium dentium
Bifidobacteriales,order,Bifidobacterium longum
Geodermatophilales,order,Blastococcus saxobsidens
Eubacteriales,order,Blautia sp. YL58
Burkholderiales,order,Bordetella parapertussis
Burkholderiales,order,Bordetella pertussis
Hyphomicrobiales,order,Bosea sp. AS-1
Hyphomicrobiales,order,Bradyrhizobiaceae bacterium SG-6C
Hyphomicrobiales,order,Bradyrhizobium japonicum
Hyphomicrobiales,order,Bradyrhizobium sp. 2 39S1MB
Hyphomicrobiales,order,Bradyrhizobium sp. SK17
Anaerolineales,order,Brevefilum fermentans
Bacillales,order,Brevibacillus brevis
Micrococcales,order,Brevibacterium linens
Caulobacterales,order,Brevundimonas diminuta
Caulobacterales,order,Brevundimonas naejangsanensis
Caulobacterales,order,Brevundimonas sp. DS20
Caulobacterales,order,Brevundimonas sp. GW460-12-10-14-LB2
Caulobacterales,order,Brevundimonas vesicularis
Hyphomicrobiales,order,Brucella abortus
Hyphomicrobiales,order,Brucella canis
Hyphomicrobiales,order,Brucella melitensis
Burkholderiales,order,Burkholderia cenocepacia
Burkholderiales,order,Burkholderia cepacia
Burkholderiales,order,Burkholderia mallei
Burkholderiales,order,Burkholderia pseudomallei
Burkholderiales,order,Burkholderia sp. Bp7605
Burkholderiales,order,Burkholderia thailandensis
Burkholderiales,order,Burkholderiales bacterium JOSHI_001
Campylobacterales,order,Campylobacter concisus
Campylobacterales,order,Campylobacter gracilis
Campylobacterales,order,Campylobacter jejuni
Chroococcales,order,Candidatus Atelocyanobacterium thalassa
Hyphomicrobiales,order,Candidatus Liberibacter asiaticus
Nitrosomonadales,order,Candidatus Methylopumilus planktonicus
Nitrosomonadales,order,Candidatus Methylopumilus turicensis
Acholeplasmatales,order,Candidatus Phytoplasma mali
Candidatus Nanopelagicales,order,Candidatus Planktophila sulfonica
Parachlamydiales,order,Candidatus Protochlamydia amoebophila
Micrococcales,order,Candidatus Rhodoluna planktonica
Candidatus Nanosynbacterales,order,Candidatus Saccharibacteria oral taxon TM7x
Bryobacterales,order,Candidatus Solibacter usitatus
Flavobacteriales,order,Candidatus Sulcia muelleri
Flavobacteriales,order,Capnocytophaga gingivalis
Burkholderiales,order,Castellaniella defragrans
Caulobacterales,order,Caulobacter henricii
Caulobacterales,order,Caulobacter mirabilis
Caulobacterales,order,Caulobacter sp. K31
Hyphomonadales,order,Caulobacteraceae bacterium OTSz_A_272
Rhodobacterales,order,Celeribacter baekdonensis
Rhodobacterales,order,Celeribacter indicus
Micrococcales,order,Cellulomonas sp. PSBB021
Cellvibrionales,order,Cellvibrio sp. PSBB023
Synechococcales,order,Chamaesiphon minutus
Chitinophagales,order,Chitinophaga caeni
Chitinophagales,order,Chitinophaga sp. MD30
Chroococcales,order,Chondrocystis sp. NIES-4102
Myxococcales,order,Chondromyces crocatus
Chroococcidiopsidales,order,Chroococcidiopsis thermalis
Flavobacteriales,order,Chryseobacterium taklimakanense
Cytophagales,order,Chryseolinea sp. KIS68-18
Eubacteriales,order,Clostridioides difficile
Eubacteriales,order,Clostridium botulinum
Eubacteriales,order,Clostridium estertheticum
Eubacteriales,order,Clostridium saccharobutylicum
Eubacteriales,order,Clostridium sp. MF28
Micrococcales,order,Cnuibacter physcomitrellae
Burkholderiales,order,Collimonas arenae
Burkholderiales,order,Collimonas fungivorans
Burkholderiales,order,Collimonas pratensis
Coriobacteriales,order,Collinsella aerofaciens
Burkholderiales,order,Comamonadaceae bacterium A1
Burkholderiales,order,Comamonadaceae bacterium B1
Burkholderiales,order,Comamonas aquatica
Burkholderiales,order,Comamonas kerstersii
Burkholderiales,order,Comamonas serinivorans
Burkholderiales,order,Comamonas testosteroni
Solirubrobacterales,order,Conexibacter woesei
Myxococcales,order,Corallococcus coralloides
Corynebacteriales,order,Corynebacterium diphtheriae
Corynebacteriales,order,Corynebacterium glutamicum
Corynebacteriales,order,Corynebacterium glyciniphilum
Corynebacteriales,order,Corynebacterium imitans
Corynebacteriales,order,Corynebacterium jeikeium
Corynebacteriales,order,Corynebacterium riegelii
Corynebacteriales,order,Corynebacterium sphenisci
Corynebacteriales,order,Corynebacterium ureicelerivorans
Oscillatoriales,order,Crinalium epipsammum
Sphingomonadales,order,Croceicoccus marinus
Sphingomonadales,order,Croceicoccus naphthovorans
Burkholderiales,order,Cupriavidus gilardii
Burkholderiales,order,Cupriavidus metallidurans
Micrococcales,order,Curtobacterium pusillum
Micrococcales,order,Curtobacterium sp. MR_MD2014
Burkholderiales,order,Curvibacter
Burkholderiales,order,Curvibacter sp. AEP1-3
Propionibacteriales,order,Cutibacterium acnes
Propionibacteriales,order,Cutibacterium granulosum
Synechococcales,order,Cyanobium gracile
Synechococcales,order,Cyanobium sp. NIES-981
Cytophagales,order,Cytophaga hutchinsonii
Synechococcales,order,Dactylococcopsis salina
Rhodocyclales,order,Dechloromonas aromatica
Rhodocyclales,order,Dechloromonas sp. HYN0024
Rhodobacterales,order,Defluviimonas alba
Deinococcales,order,Deinococcus sp. NW-56
Burkholderiales,order,Delftia sp. Cs1-4
Burkholderiales,order,Delftia tsuruhatensis
Micrococcales,order,Dermabacter vaginalis
Micrococcales,order,Dermacoccus nishinomiyaensis
Eubacteriales,order,Desulfitobacterium metallireducens
Desulfovibrionales,order,Desulfomicrobium baculatum
Eubacteriales,order,Desulfosporosinus acidiphilus
Eubacteriales,order,Desulfosporosinus youngiae
Desulfovibrionales,order,Desulfovibrio alaskensis
Desulfovibrionales,order,Desulfovibrio vulgaris
Hyphomicrobiales,order,Devosia sp. A16
Hyphomicrobiales,order,Devosia sp. I507
Burkholderiales,order,Diaphorobacter polyhydroxybutyrativorans
Corynebacteriales,order,Dietzia lutea
Corynebacteriales,order,Dietzia psychralcaliphila
Corynebacteriales,order,Dietzia sp. JS16-p6b
Corynebacteriales,order,Dietzia sp. oral taxon 368
Corynebacteriales,order,Dietzia timorensis
Nostocales,order,Dolichospermum compactum
Cytophagales,order,Dyadobacter fermentans
Enterobacterales,order,Edwardsiella ictaluri
Flavobacteriales,order,Elizabethkingia bruuniana
Enterobacterales,order,Enterobacter cloacae
Lactobacillales,order,Enterococcus faecalis
Erysipelotrichales,order,Erysipelotrichaceae bacterium I46
Sphingomonadales,order,Erythrobacter gangjinensis
Enterobacterales,order,Escherichia coli
Eubacteriales,order,Eubacterium hallii
Eubacteriales,order,Eubacterium hallii
Eubacteriales,order,Eubacterium rectale
Eubacteriales,order,Eubacterium rectale
Bacillales,order,Exiguobacterium sp. AT1b
Eubacteriales,order,Faecalibacterium prausnitzii
Nitrosomonadales,order,Ferriphaselus amnicola
Cytophagales,order,Fibrella aestuarina
Chitinophagales,order,Filimonas lacunae
Fimbriimonadales,order,Fimbriimonas ginsengisoli
Tissierellales,order,Finegoldia magna
Nostocales,order,Fischerella sp. NIES-3754
Chitinophagales,order,Flavisolibacter tropicus
Flavobacteriales,order,Flavobacterium anhuiense
Flavobacteriales,order,Flavobacterium branchiophilum
Flavobacteriales,order,Flavobacterium columnare
Flavobacteriales,order,Flavobacterium commune
Flavobacteriales,order,Flavobacterium crassostreae
Flavobacteriales,order,Flavobacterium faecale
Flavobacteriales,order,Flavobacterium gilvum
Flavobacteriales,order,Flavobacterium indicum
Flavobacteriales,order,Flavobacterium johnsoniae
Flavobacteriales,order,Flavobacterium psychrophilum
Flavobacteriales,order,Flavobacterium sp. AJ004
Flavobacteriales,order,Flavobacterium sp. HYN0049
Flavobacteriales,order,Flavobacterium sp. HYN0056
Flavobacteriales,order,Flavobacterium sp. HYN0086
Flavobacteriales,order,Fluviicola taffensis
Propionibacteriales,order,Friedmanniella sagamiharensis
Planctomycetales,order,Fuerstia marisgermanicae
Fusobacteriales,order,Fusobacterium nucleatum
Bifidobacteriales,order,Gardnerella vaginalis
Bacillales,order,Gemella morbillorum
Chroococcales,order,Geminocystis sp. NIES-3708
Gemmatales,order,Gemmata obscuriglobus
Gemmatales,order,Gemmata sp. SH-PL17
Rhodobacterales,order,Gemmobacter sp. HYN0069
Desulfuromonadales,order,Geoalkalibacter subterraneus
Desulfuromonadales,order,Geobacter anodireducens
Geodermatophilales,order,Geodermatophilus obscurus
Gloeomargaritales,order,Gloeomargarita lithophora
Rhodospirillales,order,Gluconobacter albidus
Myxococcales,order,Haliangium ochraceum
Saprospirales,order,Haliscomenobacter hydrossis
Oceanospirillales,order,Halomonas hydrothermalis
Oceanospirillales,order,Halomonas sp. hl-4
Oceanospirillales,order,Halomonas sp. JS92-SW72
Chroococcales,order,Halothece sp. PCC 7418
Campylobacterales,order,Helicobacter pylori
Burkholderiales,order,Herbaspirillum seropedicae
Burkholderiales,order,Herminiimonas arsenicoxydans
Micrococcales,order,Humibacter sp. BT305
Burkholderiales,order,Hydrogenophaga crassostreae
Burkholderiales,order,Hydrogenophaga sp. PBC
Burkholderiales,order,Hydrogenophaga sp. RAC07
Burkholderiales,order,Hydromonas sp. F02
Hyphomicrobiales,order,Hyphomicrobium nitrativorans
Micrococcales,order,Janibacter indicus
Burkholderiales,order,Janthinobacterium agaricidamnosum
Burkholderiales,order,Janthinobacterium sp. LM6
Burkholderiales,order,Janthinobacterium sp. Marseille
Burkholderiales,order,Janthinobacterium svalbardensis
Rhodobacterales,order,Ketogulonicigenium vulgare
Kiritimatiellales,order,Kiritimatiella glycovorans
Enterobacterales,order,Klebsiella pneumoniae
Micrococcales,order,Kocuria flava
Micrococcales,order,Kocuria palustris
Micrococcales,order,Kocuria turfanensis
Flavobacteriales,order,Kordia sp. SMS9
Lactobacillales,order,Lactobacillus
Lactobacillales,order,Lactobacillus
Lactobacillales,order,Lactobacillus backii
Lactobacillales,order,Lactobacillus helveticus
Lactobacillales,order,Lactococcus lactis
Lactobacillales,order,Lactococcus raffinolactis
Opitutales,order,Lacunisphaera limnophila
Corynebacteriales,order,Lawsonella clevelandensis
Cytophagales,order,Leadbetterella byssophila
Legionellales,order,Legionella pneumophila
Legionellales,order,Legionella sainthelensi
Pseudanabaenales,order,Leptolyngbya sp. NIES-3755
Pseudanabaenales,order,Leptolyngbya sp. PCC 7376
Burkholderiales,order,Leptothrix cholodnii
Fusobacteriales,order,Leptotrichia buccalis
Fusobacteriales,order,Leptotrichia sp. oral taxon 498
Burkholderiales,order,Limnohabitans sp. 103DPR2
Burkholderiales,order,Limnohabitans sp. 63ED37-2
Bacillales,order,Listeria monocytogenes
Peltigerales,order,Lobaria pulmonaria
Vicinamibacterales,order,Luteitalea pratensis
Flavobacteriales,order,Lutibacter sp. LPB0138
Bacillales,order,Lysinibacillus sphaericus
Cytophagales,order,Marivirga tractuosa
Burkholderiales,order,Massilia armeniaca
Burkholderiales,order,Massilia putida
Burkholderiales,order,Massilia sp. NR 4-1
Burkholderiales,order,Massilia sp. WG5
Burkholderiales,order,Massilia sp. YMA4
Burkholderiales,order,Massilia timonae
Burkholderiales,order,Massilia violaceinigra
Selenomonadales,order,Megamonas hypermegale
Burkholderiales,order,Melaminivora sp. SC2-7
Burkholderiales,order,Melaminivora sp. SC2-9
Ignavibacteriales,order,Melioribacter roseus
Burkholderiales,order,Methylibium petroleiphilum
Hyphomicrobiales,order,Methylobacterium phyllosphaerae
Hyphomicrobiales,order,Methylobacterium sp. 17SD2-17
Hyphomicrobiales,order,Methylobacterium sp. AMS5
Hyphomicrobiales,order,Methylobacterium sp. C1
Hyphomicrobiales,order,Methylobacterium sp. DM1
Hyphomicrobiales,order,Methylobacterium sp. XJLM
Methylococcales,order,Methylomicrobium album
Methylococcales,order,Methylomonas denitrificans
Nitrosomonadales,order,Methylophilus sp. TWE2
Hyphomicrobiales,order,Methylorubrum extorquens
Nitrosomonadales,order,Methylotenera mobilis
Nitrosomonadales,order,Methylotenera versatilis
Micrococcales,order,Microbacterium paraoxydans
Micrococcales,order,Microbacterium pygmaeum
Micrococcales,order,Microbacterium sp. PAMC 28756
Micrococcales,order,Microbacterium sp. PM5
Micrococcales,order,Microbacterium sp. str. 'China'
Micrococcales,order,Microcella alkaliphila
Micrococcales,order,Micrococcus luteus
Oscillatoriales,order,Microcoleus sp. PCC 7113
Hyphomicrobiales,order,Microvirga sp. 17 mud 1-3
Burkholderiales,order,Mitsuaria sp. 7
Geodermatophilales,order,Modestobacter marinus
Moraxellales,order,Moraxella bovoculi
Moraxellales,order,Moraxella osloensis
Moraxellales,order,Moraxellaceae bacterium HYN0046
Enterobacterales,order,Morganella morganii
Sphingobacteriales,order,Mucilaginibacter sp. PAMC 26640
Ortervirales,order,Murine leukemia virus
Ortervirales,order,Mus musculus mobilized endogenous polytropic provirus
Corynebacteriales,order,Mycobacterium tuberculosis
Corynebacteriales,order,Mycolicibacterium neoaurum
Mycoplasmatales,order,Mycoplasma
Mycoplasmatales,order,Mycoplasma
Mycoplasmatales,order,Mycoplasma
Mycoplasmatales,order,Mycoplasma
Mycoplasmatales,order,Mycoplasma bovis
Myxococcales,order,Myxococcus fulvus
Neisseriales,order,Neisseria gonorrhoeae
Neisseriales,order,Neisseria meningitidis
Neisseriales,order,Neisseriaceae bacterium DSM 100970
Chitinophagales,order,Niabella ginsenosidivorans
Chitinophagales,order,Niabella soli
Chitinophagales,order,Niastella koreensis
Nitrosomonadales,order,Nitrosomonas communis
Nitrosomonadales,order,Nitrosomonas sp. Is79A3
Nitrospirales,order,Nitrospira defluvii
Nitrospirales,order,Nitrospira japonica
Nitrospirales,order,Nitrospira moscoviensis
Propionibacteriales,order,Nocardioides dokdonensis
Propionibacteriales,order,Nocardioides sp. 78
Propionibacteriales,order,Nocardioides sp. CF8
Propionibacteriales,order,Nocardioides sp. JS614
Streptosporangiales,order,Nonomuraea sp. ATCC 55076
Nostocales,order,Nostoc flagelliforme
Nostocales,order,Nostoc sp. 'Peltigera membranacea cyanobiont' N6
Nostocales,order,Nostoc sphaeroides
Sphingomonadales,order,Novosphingobium aromaticivorans
Sphingomonadales,order,Novosphingobium sp. THN1
Pseudomonadales,order,Oblitimonas alkaliphila
Hyphomicrobiales,order,Ochrobactrum anthropi
Bacteroidales,order,Odoribacter splanchnicus
Burkholderiales,order,Oligella urethralis
Opitutales,order,Opitutus sp. GAS368
Opitutales,order,Opitutus terrae
Flavobacteriales,order,Ornithobacterium rhinotracheale
Oscillatoriales,order,Oscillatoria acuminata
Oscillatoriales,order,Oscillatoria nigro-viridis
Pseudanabaenales,order,Oscillatoriales cyanobacterium JSC-12
Burkholderiales,order,Ottowia oryzae
Burkholderiales,order,Ottowia sp. oral taxon 894
Bacillales,order,Paenibacillus polymyxa
Eubacteriales,order,Paeniclostridium sordellii
Myxococcales,order,Pajaroellobacter abortibovis
Isosphaerales,order,Paludisphaera borealis
Bacteroidales,order,Parabacteroides
Bacteroidales,order,Parabacteroides sp. CT06
Parachlamydiales,order,Parachlamydia acanthamoebae
Rhodobacterales,order,Paracoccus aminovorans
Rhodobacterales,order,Paracoccus sp. CBA4604
Rhodobacterales,order,Paracoccus yeei
Bacillales,order,Parageobacillus thermoglucosidasius
Hyphomicrobiales,order,Parvibaculum lavamentivorans
Pasteurellales,order,Pasteurella multocida
Burkholderiales,order,Paucibacter sp. KCTC 42545
Sphingobacteriales,order,Pedobacter cryoconitis
Desulfuromonadales,order,Pelobacter propionicus
Selenomonadales,order,Pelosinus fermentans
Tissierellales,order,Peptoniphilus sp. ING2-D1G
Caulobacterales,order,Phenylobacterium sp. HYN0004
Caulobacterales,order,Phenylobacterium zucineum
Phycisphaerales,order,Phycisphaera mikurensis
Pirellulales,order,Pirellula staleyi
Planctomycetales,order,Planctomyces sp. SH-PL14
Planctomycetales,order,Planctomyces sp. SH-PL62
Planctomycetales,order,Planctopirus limnophila
Burkholderiales,order,Polaromonas naphthalenivorans
Burkholderiales,order,Polaromonas sp. JS666
Burkholderiales,order,Polyangium brachysporum
Burkholderiales,order,Polyangium brachysporum
Burkholderiales,order,Polynucleobacter necessarius
Bacteroidales,order,Porphyromonas gingivalis
Bacteroidales,order,Prevotella denticola
Bacteroidales,order,Prevotella intermedia
Bacteroidales,order,Prevotella melaninogenica
Synechococcales,order,Prochlorococcus marinus
Cytophagales,order,Pseudarcicella sp. HME7025
Campylobacterales,order,Pseudoarcobacter suis
Chitinophagales,order,Pseudoflavitalea sp. 5GH32-13
Pseudomonadales,order,Pseudomonas
Pseudomonadales,order,Pseudomonas
Pseudomonadales,order,Pseudomonas
Pseudomonadales,order,Pseudomonas aeruginosa
Pseudomonadales,order,Pseudomonas alcaligenes
Pseudomonadales,order,Pseudomonas fragi
Pseudomonadales,order,Pseudomonas mendocina
Pseudomonadales,order,Pseudomonas protegens
Pseudomonadales,order,Pseudomonas putida
Pseudomonadales,order,Pseudomonas sp. phDV1
Pseudomonadales,order,Pseudomonas sp. SWI6
Pseudomonadales,order,Pseudomonas sp. WCS374
Pseudomonadales,order,Pseudomonas tolaasii
Sphingobacteriales,order,Pseudopedobacter saltans
Xanthomonadales,order,Pseudoxanthomonas suwonensis
Moraxellales,order,Psychrobacter
Moraxellales,order,Psychrobacter alimentarius
Moraxellales,order,Psychrobacter cryohalolentis
Moraxellales,order,Psychrobacter sp. AntiMn-1
Moraxellales,order,Psychrobacter sp. DAB_AL43B
Moraxellales,order,Psychrobacter sp. P11F6
Moraxellales,order,Psychrobacter sp. P2G3
Moraxellales,order,Psychrobacter sp. PRwf-1
Moraxellales,order,Psychrobacter sp. YP14
Burkholderiales,order,Ralstonia pickettii
Burkholderiales,order,Ralstonia solanacearum
Burkholderiales,order,Ramlibacter tataouinensis
Micrococcales,order,Renibacterium salmoninarum
Burkholderiales,order,Rhizobacter gummiphilus
Hyphomicrobiales,order,Rhizobium sp. NT-26
Sphingomonadales,order,Rhizorhabdus dicambivorans
Rhodobacterales,order,Rhodobacter sp. LPB0142
Rhodobacterales,order,Rhodobacter sphaeroides
Rhodobacterales,order,Rhodobacteraceae bacterium
Rhodobacterales,order,Rhodobacteraceae bacterium QY30
Corynebacteriales,order,Rhodococcus aetherivorans
Corynebacteriales,order,Rhodococcus qingshengii
Corynebacteriales,order,Rhodococcus ruber
Corynebacteriales,order,Rhodococcus sp. 008
Corynebacteriales,order,Rhodococcus sp. BH4
Corynebacteriales,order,Rhodococcus sp. p52
Corynebacteriales,order,Rhodococcus sp. YL-1
Rhodocyclales,order,Rhodocyclaceae bacterium
Burkholderiales,order,Rhodoferax antarcticus
Burkholderiales,order,Rhodoferax ferrireducens
Burkholderiales,order,Rhodoferax koreense
Burkholderiales,order,Rhodoferax saidenbachensis
Micrococcales,order,Rhodoluna lacicola
Hyphomicrobiales,order,Rhodomicrobium vannielii
Pirellulales,order,Rhodopirellula baltica
Hyphomicrobiales,order,Rhodoplanes sp. Z2-YC6860
Hyphomicrobiales,order,Rhodopseudomonas palustris
Flavobacteriales,order,Riemerella anatipestifer
Burkholderiales,order,Roseateles depolymerans
Rhodospirillales,order,Roseomonas sp. FDAARGOS_362
Micrococcales,order,Rothia mucilaginosa
Planctomycetales,order,Rubinisphaera brasiliensis
Burkholderiales,order,Rubrivivax gelatinosus
Eubacteriales,order,Ruminococcus champanellensis
Enterobacterales,order,Salmonella enterica
Myxococcales,order,Sandaracinus amylolyticus
Saprospirales,order,Saprospira grandis
Nostocales,order,Scytonema sp. HK-05
Selenomonadales,order,Selenomonas sp. oral taxon 136
Alteromonadales,order,Shewanella baltica
Hyphomicrobiales,order,Shinella sp. HZN7
Flavobacteriales,order,Siansivirga zeaxanthinifaciens
Nitrosomonadales,order,Sideroxydans lithotrophicus
Burkholderiales,order,Simplicispira suum
Isosphaerales,order,Singulisphaera acidiphila
Fusobacteriales,order,Sneathia amnii
Nevskiales,order,Solimonas sp. K1W22B-7
Myxococcales,order,Sorangium cellulosum
Sphingobacteriales,order,Sphingobacterium mizutaii
Sphingobacteriales,order,Sphingobacterium sp. ML3W
Sphingomonadales,order,Sphingobium cloacae
Sphingomonadales,order,Sphingobium sp. MI1205
Sphingomonadales,order,Sphingobium sp. RAC03
Sphingomonadales,order,Sphingobium sp. TKS
Sphingomonadales,order,Sphingobium sp. YBL2
Sphingomonadales,order,Sphingobium yanoikuyae
Sphingomonadales,order,Sphingomonas
Sphingomonadales,order,Sphingomonas
Sphingomonadales,order,Sphingomonas hengshuiensis
Sphingomonadales,order,Sphingomonas koreensis
Sphingomonadales,order,Sphingomonas melonis
Sphingomonadales,order,Sphingomonas panacis
Sphingomonadales,order,Sphingomonas sanxanigenens
Sphingomonadales,order,Sphingomonas sp. FARSPH
Sphingomonadales,order,Sphingomonas sp. JJ-A5
Sphingomonadales,order,Sphingomonas sp. KC8
Sphingomonadales,order,Sphingomonas sp. LK11
Sphingomonadales,order,Sphingomonas sp. LM7
Sphingomonadales,order,Sphingomonas sp. MM-1
Sphingomonadales,order,Sphingomonas sp. NIC1
Sphingomonadales,order,Sphingomonas taxi
Sphingomonadales,order,Sphingopyxis fribergensis
Sphingomonadales,order,Sphingopyxis granuli
Sphingomonadales,order,Sphingopyxis sp. LPB0140
Cytophagales,order,Spirosoma pollinicola
Pleurocapsales,order,Stanieria sp. NIES-3757
Bacillales,order,Staphylococcus aureus
Bacillales,order,Staphylococcus epidermidis
Xanthomonadales,order,Stenotrophomonas acidaminiphila
Xanthomonadales,order,Stenotrophomonas maltophilia
Xanthomonadales,order,Stenotrophomonas sp. Pemsol
Nevskiales,order,Steroidobacter denitrificans
Myxococcales,order,Stigmatella aurantiaca
Lactobacillales,order,Streptococcus constellatus
Lactobacillales,order,Streptococcus infantarius
Lactobacillales,order,Streptococcus pneumoniae
Lactobacillales,order,Streptococcus pyogenes
Streptomycetales,order,Streptomyces lividans
Rhodobacterales,order,Sulfitobacter sp. AM1-D1
Campylobacterales,order,Sulfuricurvum
Campylobacterales,order,Sulfuricurvum kujiense
Nitrosomonadales,order,Sulfuritalea hydrogenivorans
Synechococcales,order,Synechococcus
Synechococcales,order,Synechococcus
Synechococcales,order,Synechococcus sp. KORDI-49
Synechococcales,order,Synechococcus sp. PCC 6312
Synechococcales,order,Synechococcus sp. PCC 7502
Synechococcales,order,Synechococcus sp. RCC307
Synechococcales,order,Synechococcus sp. UTEX 2973
Syntrophobacterales,order,Syntrophobacter fumaroxidans
Bacteroidales,order,Tannerella forsythia
Bacteroidales,order,Tannerella sp. oral taxon HOT-286
Burkholderiales,order,Taylorella equigenitalis
Rhodocyclales,order,Thauera humireducens
Rhodocyclales,order,Thauera sp. K11
Pirellulales,order,Thermogutta terrifontis
Nitrosomonadales,order,Thiobacillus denitrificans
Aeromonadales,order,Tolumonas auensis
Spirochaetales,order,Treponema pallidum
Spirochaetales,order,Treponema sp. OMZ 838
Oscillatoriales,order,Trichodesmium erythraeum
Actinomycetales,order,Trueperella pyogenes
Bacillales,order,Tumebacillus algifaecis
Erysipelotrichales,order,Turicibacter sp. H121
