case,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,group,sex,log,n
17.unmapped,Hydrogenophaga sp. RAC07,1842537,S,409,1263,1672,0.00041,control,male,-3.387216143,1
17.unmapped,Comamonas testosteroni,285,S,1191,1022,2213,0.00054,control,male,-3.26760624,1
17.unmapped,Comamonas kerstersii,225992,S,367,1165,1532,0.00038,control,male,-3.420216403,1
17.unmapped,Comamonas aquatica,225991,S,198,1214,1412,0.00035,control,male,-3.455931956,1
17.unmapped,Comamonas serinivorans,1082851,S,134,383,517,0.00013,control,male,-3.886056648,1
17.unmapped,Curvibacter sp. AEP1-3,1844971,S,2710,2849,5559,0.00136,control,male,-2.866461092,1
17.unmapped,Verminephrobacter eiseniae,364317,S,2068,4416,6484,0.00159,control,male,-2.798602876,1
17.unmapped,Ramlibacter tataouinensis,94132,S,1731,5644,7375,0.00181,control,male,-2.742321425,1
17.unmapped,Comamonadaceae bacterium A1,1458425,S,177,967,1144,0.00028,control,male,-3.552841969,1
17.unmapped,Comamonadaceae bacterium B1,1458426,S,74,413,487,0.00012,control,male,-3.920818754,1
17.unmapped,Melaminivora sp. SC2-9,2109913,S,625,4264,4889,0.0012,control,male,-2.920818754,1
17.unmapped,Melaminivora sp. SC2-7,2116657,S,173,1290,1463,0.00036,control,male,-3.443697499,1
17.unmapped,Candidatus Symbiobacter mobilis,1436290,S,599,157,756,0.00019,control,male,-3.721246399,1
17.unmapped,Delftia tsuruhatensis,180282,S,98,1181,1279,0.00031,control,male,-3.508638306,1
17.unmapped,Delftia acidovorans,80866,S,17,369,386,9.00E-05,control,male,-4.045757491,1
17.unmapped,Leptothrix cholodnii,34029,S,7100,21432,28532,0.007,control,male,-2.15490196,1
17.unmapped,Mitsuaria sp. 7,1658665,S,5342,11145,16487,0.00404,control,male,-2.393618635,1
17.unmapped,Paucibacter sp. KCTC 42545,1768242,S,4725,8052,12777,0.00313,control,male,-2.504455662,1
17.unmapped,Rubrivivax gelatinosus,28068,S,3771,12514,16285,0.00399,control,male,-2.399027104,1
17.unmapped,Methylibium petroleiphilum,105560,S,2108,5928,8036,0.00197,control,male,-2.705533774,1
17.unmapped,Rhizobacter gummiphilus,946333,S,1736,3717,5453,0.00134,control,male,-2.872895202,1
17.unmapped,Thiomonas sp. X19,1050370,S,314,673,987,0.00024,control,male,-3.619788758,1
17.unmapped,Thiomonas intermedia,926,S,116,253,369,9.00E-05,control,male,-4.045757491,1
17.unmapped,Aquabacterium olei,1296669,S,921,2389,3310,0.00081,control,male,-3.091514981,1
17.unmapped,Roseateles depolymerans,76731,S,878,1865,2743,0.00067,control,male,-3.173925197,1
17.unmapped,Burkholderiales bacterium JOSHI_001,864051,S,723,2613,3336,0.00082,control,male,-3.086186148,1
17.unmapped,Burkholderiales bacterium YL45,1834205,S,443,45,488,0.00012,control,male,-3.920818754,1
17.unmapped,Burkholderiales bacterium GJ-E10,1469502,S,354,136,490,0.00012,control,male,-3.920818754,1
17.unmapped,[Polyangium] brachysporum,413882,S,513,1653,2166,0.00053,control,male,-3.27572413,1
17.unmapped,Massilia violaceinigra,2045208,S,6746,12193,18939,0.00464,control,male,-2.333482019,1
17.unmapped,Massilia sp. NR 4-1,1678028,S,1217,3301,4518,0.00111,control,male,-2.954677021,1
17.unmapped,Massilia timonae,47229,S,423,1246,1669,0.00041,control,male,-3.387216143,1
17.unmapped,Massilia sp. WG5,1707785,S,312,2279,2591,0.00064,control,male,-3.193820026,1
17.unmapped,Massilia armeniaca,2072590,S,274,3293,3567,0.00087,control,male,-3.060480747,1
17.unmapped,Massilia putida,1141883,S,163,889,1052,0.00026,control,male,-3.585026652,1
17.unmapped,Massilia sp. YMA4,1593482,S,152,1826,1978,0.00049,control,male,-3.30980392,1
17.unmapped,Janthinobacterium sp. B9-8,1236179,S,630,194,824,2.00E-04,control,male,-3.698970004,1
17.unmapped,Janthinobacterium agaricidamnosum,55508,S,485,910,1395,0.00034,control,male,-3.468521083,1
17.unmapped,Janthinobacterium sp. Marseille,375286,S,469,2866,3335,0.00082,control,male,-3.086186148,1
17.unmapped,Janthinobacterium sp. LM6,1938606,S,399,3245,3644,0.00089,control,male,-3.050609993,1
17.unmapped,Janthinobacterium svalbardensis,368607,S,291,1980,2271,0.00056,control,male,-3.251811973,1
17.unmapped,Janthinobacterium sp. 1_2014MBL_MicDiv,1644131,S,50,315,365,9.00E-05,control,male,-4.045757491,1
17.unmapped,Collimonas fungivorans,158899,S,590,1513,2103,0.00052,control,male,-3.283996656,1
17.unmapped,Collimonas pratensis,279113,S,102,310,412,1.00E-04,control,male,-4,1
17.unmapped,Collimonas arenae,279058,S,72,125,197,5.00E-05,control,male,-4.301029996,1
17.unmapped,Herbaspirillum rubrisubalbicans,80842,S,155,192,347,9.00E-05,control,male,-4.045757491,1
17.unmapped,Herbaspirillum hiltneri,341045,S,92,161,253,6.00E-05,control,male,-4.22184875,1
17.unmapped,Herbaspirillum seropedicae,964,S,88,29411,29499,0.00723,control,male,-2.140861703,1
17.unmapped,Herbaspirillum frisingense,92645,S,87,208,295,7.00E-05,control,male,-4.15490196,1
17.unmapped,Herbaspirillum sp. meg3,2025949,S,85,92,177,4.00E-05,control,male,-4.397940009,1
17.unmapped,Herminiimonas arsenicoxydans,204773,S,662,2922,3584,0.00088,control,male,-3.055517328,1
17.unmapped,Herminiimonas arsenitoxidans,1809410,S,220,905,1125,0.00028,control,male,-3.552841969,1
17.unmapped,Oxalobacter formigenes,847,S,254,71,325,8.00E-05,control,male,-4.096910013,1
17.unmapped,Burkholderia pseudomallei,28450,S,1376,497082,498458,0.12225,control,male,-0.912751132,1
17.unmapped,Burkholderia thailandensis,57975,S,221,71486,71707,0.01759,control,male,-1.754734161,1
17.unmapped,Burkholderia sp. BDU8,1385592,S,109,43,152,4.00E-05,control,male,-4.397940009,1
17.unmapped,Burkholderia mallei,13373,S,105,1112,1217,3.00E-04,control,male,-3.522878745,1
17.unmapped,Burkholderia oklahomensis,342113,S,42,17,59,1.00E-05,control,male,-5,1
17.unmapped,Burkholderia cenocepacia,95486,S,888,3450,4338,0.00106,control,male,-2.974694135,1
17.unmapped,Burkholderia ubonensis,101571,S,58,94,152,4.00E-05,control,male,-4.397940009,1
17.unmapped,Burkholderia cepacia,292,S,54,44,98,2.00E-05,control,male,-4.698970004,1
17.unmapped,Burkholderia vietnamiensis,60552,S,37,53,90,2.00E-05,control,male,-4.698970004,1
17.unmapped,Burkholderia pyrrocinia,60550,S,20,14,34,1.00E-05,control,male,-5,1
17.unmapped,Burkholderia lata,482957,S,15,6,21,1.00E-05,control,male,-5,1
17.unmapped,Burkholderia glumae,337,S,190,815,1005,0.00025,control,male,-3.602059991,1
17.unmapped,Burkholderia sp. Bp7605,1740163,S,108,28,136,3.00E-05,control,male,-4.522878745,1
17.unmapped,Burkholderia sp. CCGE1003,640512,S,40,8,48,1.00E-05,control,male,-5,1
17.unmapped,Hydromonas sp. F02,2268024,S,4393,692,5085,0.00125,control,male,-2.903089987,1
17.unmapped,Ralstonia pickettii,329,S,741,2016,2757,0.00068,control,male,-3.167491087,1
17.unmapped,Ralstonia solanacearum,305,S,659,1252,1911,0.00047,control,male,-3.327902142,1
17.unmapped,Ralstonia insidiosa,190721,S,38,31,69,2.00E-05,control,male,-4.698970004,1
17.unmapped,Ralstonia mannitolilytica,105219,S,30,57,87,2.00E-05,control,male,-4.698970004,1
17.unmapped,Cupriavidus gilardii,82541,S,1245,1442,2687,0.00066,control,male,-3.180456064,1
17.unmapped,Cupriavidus taiwanensis,164546,S,122,242,364,9.00E-05,control,male,-4.045757491,1
17.unmapped,Cupriavidus metallidurans,119219,S,57,93,150,4.00E-05,control,male,-4.397940009,1
17.unmapped,Cupriavidus necator,106590,S,25,29,54,1.00E-05,control,male,-5,1
17.unmapped,Cupriavidus oxalaticus,96344,S,18,22,40,1.00E-05,control,male,-5,1
17.unmapped,Cupriavidus sp. USMAA1020,367825,S,13,471,484,0.00012,control,male,-3.920818754,1
17.unmapped,Polynucleobacter necessarius,576610,S,536,487,1023,0.00025,control,male,-3.602059991,1
17.unmapped,Polynucleobacter acidiphobus,556053,S,338,75,413,1.00E-04,control,male,-4,1
17.unmapped,Polynucleobacter wuianus,1743168,S,13,24,37,1.00E-05,control,male,-5,1
17.unmapped,Paraburkholderia rhizoxinica,412963,S,441,74,515,0.00013,control,male,-3.886056648,1
17.unmapped,Paraburkholderia terricola,169427,S,95,50,145,4.00E-05,control,male,-4.397940009,1
17.unmapped,Paraburkholderia xenovorans,36873,S,49,60,109,3.00E-05,control,male,-4.522878745,1
17.unmapped,Paraburkholderia terrae,311230,S,37,108,145,4.00E-05,control,male,-4.397940009,1
17.unmapped,Paraburkholderia phenoliruptrix,252970,S,30,33,63,2.00E-05,control,male,-4.698970004,1
17.unmapped,Paraburkholderia phymatum,148447,S,23,12,35,1.00E-05,control,male,-5,1
17.unmapped,Paraburkholderia caribensis,75105,S,11,23,34,1.00E-05,control,male,-5,1
17.unmapped,Pandoraea thiooxydans,445709,S,191,78,269,7.00E-05,control,male,-4.15490196,1
17.unmapped,Pandoraea norimbergensis,93219,S,62,204,266,7.00E-05,control,male,-4.15490196,1
17.unmapped,Pandoraea pulmonicola,93221,S,12,55,67,2.00E-05,control,male,-4.698970004,1
17.unmapped,Pandoraea apista,93218,S,10,60,70,2.00E-05,control,male,-4.698970004,1
17.unmapped,Bordetella sp. HZ20,2163011,S,149,44,193,5.00E-05,control,male,-4.301029996,1
17.unmapped,Bordetella sp. N,1746199,S,110,70,180,4.00E-05,control,male,-4.397940009,1
17.unmapped,Bordetella parapertussis,519,S,80,1611,1691,0.00041,control,male,-3.387216143,1
17.unmapped,Bordetella pertussis,520,S,49,775,824,2.00E-04,control,male,-3.698970004,1
17.unmapped,Bordetella holmesii,35814,S,46,158,204,5.00E-05,control,male,-4.301029996,1
17.unmapped,Bordetella trematum,123899,S,45,48,93,2.00E-05,control,male,-4.698970004,1
17.unmapped,Bordetella bronchiseptica,518,S,38,397,435,0.00011,control,male,-3.958607315,1
17.unmapped,Bordetella petrii,94624,S,27,66,93,2.00E-05,control,male,-4.698970004,1
17.unmapped,Bordetella hinzii,103855,S,26,40,66,2.00E-05,control,male,-4.698970004,1
17.unmapped,Advenella kashmirensis,310575,S,162,762,924,0.00023,control,male,-3.638272164,1
17.unmapped,Advenella mimigardefordensis,302406,S,44,197,241,6.00E-05,control,male,-4.22184875,1
17.unmapped,Orrella dioscoreae,1851544,S,751,1078,1829,0.00045,control,male,-3.346787486,1
17.unmapped,Paenalcaligenes hominis,643674,S,502,89,591,0.00014,control,male,-3.853871964,1
17.unmapped,Oligella urethralis,90245,S,495,71,566,0.00014,control,male,-3.853871964,1
17.unmapped,Alcaligenes faecalis,511,S,327,290,617,0.00015,control,male,-3.823908741,1
17.unmapped,Basilea psittacipulmonis,1472345,S,323,68,391,1.00E-04,control,male,-4,1
17.unmapped,Achromobacter xylosoxidans,85698,S,79,550,629,0.00015,control,male,-3.823908741,1
17.unmapped,Achromobacter insolitus,217204,S,47,55,102,3.00E-05,control,male,-4.522878745,1
17.unmapped,Achromobacter denitrificans,32002,S,25,95,120,3.00E-05,control,male,-4.522878745,1
17.unmapped,Achromobacter sp. AONIH1,1758194,S,14,41,55,1.00E-05,control,male,-5,1
17.unmapped,Taylorella equigenitalis,29575,S,50,1893,1943,0.00048,control,male,-3.318758763,1
17.unmapped,Taylorella asinigenitalis,84590,S,22,5,27,1.00E-05,control,male,-5,1
17.unmapped,Pusillimonas sp. T7-7,1007105,S,114,58,172,4.00E-05,control,male,-4.397940009,1
17.unmapped,Castellaniella defragrans,75697,S,36,46,82,2.00E-05,control,male,-4.698970004,1
17.unmapped,Sutterella sp. 6FBBBH3,2259134,S,589,143,732,0.00018,control,male,-3.744727495,1
17.unmapped,Sideroxydans lithotrophicus,63745,S,1195,1380,2575,0.00063,control,male,-3.200659451,1
17.unmapped,Ferriphaselus amnicola,1188319,S,926,1229,2155,0.00053,control,male,-3.27572413,1
17.unmapped,Gallionella capsiferriformans,370405,S,898,953,1851,0.00045,control,male,-3.346787486,1
17.unmapped,Sulfuricella denitrificans,649841,S,760,465,1225,3.00E-04,control,male,-3.522878745,1
17.unmapped,Sulfuriferula sp. AH1,1985873,S,533,494,1027,0.00025,control,male,-3.602059991,1
17.unmapped,Nitrosomonas communis,44574,S,1429,241,1670,0.00041,control,male,-3.387216143,1
17.unmapped,Nitrosomonas sp. Is79A3,261292,S,1016,317,1333,0.00033,control,male,-3.48148606,1
17.unmapped,Nitrosomonas ureae,44577,S,270,921,1191,0.00029,control,male,-3.537602002,1
17.unmapped,Nitrosomonas eutropha,916,S,165,95,260,6.00E-05,control,male,-4.22184875,1
17.unmapped,Nitrosomonas europaea,915,S,50,37,87,2.00E-05,control,male,-4.698970004,1
17.unmapped,Nitrosospira lacus,1288494,S,153,492,645,0.00016,control,male,-3.795880017,1
17.unmapped,Nitrosospira multiformis,1231,S,74,179,253,6.00E-05,control,male,-4.22184875,1
17.unmapped,Nitrosospira briensis,35799,S,21,70,91,2.00E-05,control,male,-4.698970004,1
17.unmapped,Methylotenera versatilis,1055487,S,713,1657,2370,0.00058,control,male,-3.236572006,1
17.unmapped,Methylotenera mobilis,359408,S,216,492,708,0.00017,control,male,-3.769551079,1
17.unmapped,Methylophilus sp. TWE2,1662285,S,645,726,1371,0.00034,control,male,-3.468521083,1
17.unmapped,Candidatus Methylopumilus planktonicus,1581557,S,427,480,907,0.00022,control,male,-3.657577319,1
17.unmapped,Candidatus Methylopumilus turicensis,1581680,S,54,173,227,6.00E-05,control,male,-4.22184875,1
17.unmapped,Methylobacillus flagellatus,405,S,43,83,126,3.00E-05,control,male,-4.522878745,1
17.unmapped,Sulfuritalea hydrogenivorans,748811,S,1222,1712,2934,0.00072,control,male,-3.142667504,1
17.unmapped,Methyloversatilis sp. RAC08,1842540,S,446,500,946,0.00023,control,male,-3.638272164,1
17.unmapped,Thiobacillus denitrificans,36861,S,965,977,1942,0.00048,control,male,-3.318758763,1
17.unmapped,Dechloromonas sp. HYN0024,2231055,S,1715,5658,7373,0.00181,control,male,-2.742321425,1
17.unmapped,Dechloromonas aromatica,259537,S,951,2643,3594,0.00088,control,male,-3.055517328,1
17.unmapped,Azoarcus communis,41977,S,557,1183,1740,0.00043,control,male,-3.366531544,1
17.unmapped,Azoarcus sp. CIB,198107,S,172,683,855,0.00021,control,male,-3.677780705,1
17.unmapped,Azoarcus sp. SY39,2067960,S,109,198,307,8.00E-05,control,male,-4.096910013,1
17.unmapped,Azoarcus sp. KH32C,748247,S,28,73,101,2.00E-05,control,male,-4.698970004,1
17.unmapped,Thauera humireducens,1134435,S,212,779,991,0.00024,control,male,-3.619788758,1
17.unmapped,Thauera sp. K11,2005884,S,170,585,755,0.00019,control,male,-3.721246399,1
17.unmapped,Thauera sp. MZ1T,85643,S,144,780,924,0.00023,control,male,-3.638272164,1
17.unmapped,Thauera chlorobenzoica,96773,S,43,517,560,0.00014,control,male,-3.853871964,1
17.unmapped,Azospira oryzae,146939,S,760,1175,1935,0.00047,control,male,-3.327902142,1
17.unmapped,Aromatoleum aromaticum,551760,S,266,966,1232,3.00E-04,control,male,-3.522878745,1
17.unmapped,Neisseria meningitidis,487,S,517,2857,3374,0.00083,control,male,-3.080921908,1
17.unmapped,Neisseria gonorrhoeae,485,S,270,500,770,0.00019,control,male,-3.721246399,1
17.unmapped,Neisseria lactamica,486,S,81,161,242,6.00E-05,control,male,-4.22184875,1
17.unmapped,Neisseria sp. KEM232,655307,S,48,19,67,2.00E-05,control,male,-4.698970004,1
17.unmapped,Neisseria mucosa,488,S,16,65,81,2.00E-05,control,male,-4.698970004,1
17.unmapped,Neisseria elongata,495,S,12,17,29,1.00E-05,control,male,-5,1
17.unmapped,Neisseriaceae bacterium DSM 100970,2052837,S,1963,317,2280,0.00056,control,male,-3.251811973,1
17.unmapped,Vitreoscilla filiformis,63,S,732,577,1309,0.00032,control,male,-3.494850022,1
17.unmapped,Vitreoscilla sp. C1,96942,S,437,229,666,0.00016,control,male,-3.795880017,1
17.unmapped,Snodgrassella alvi,1196083,S,328,151,479,0.00012,control,male,-3.920818754,1
17.unmapped,Crenobacter sp. K1W11S-77,2290923,S,259,730,989,0.00024,control,male,-3.619788758,1
17.unmapped,Eikenella corrodens,539,S,103,268,371,9.00E-05,control,male,-4.045757491,1
17.unmapped,Aquaspirillum sp. LM1,1938604,S,1016,1276,2292,0.00056,control,male,-3.251811973,1
17.unmapped,Microvirgula aerodenitrificans,57480,S,506,742,1248,0.00031,control,male,-3.508638306,1
17.unmapped,Jeongeupia sp. USM3,1906741,S,207,285,492,0.00012,control,male,-3.920818754,1
17.unmapped,Laribacter hongkongensis,168471,S,195,468,663,0.00016,control,male,-3.795880017,1
17.unmapped,Chromobacterium rhizoryzae,1778675,S,92,176,268,7.00E-05,control,male,-4.15490196,1
17.unmapped,Chromobacterium violaceum,536,S,11,132,143,4.00E-05,control,male,-4.397940009,1
17.unmapped,Vogesella sp. LIG4,1192162,S,79,220,299,7.00E-05,control,male,-4.15490196,1
17.unmapped,Aquitalea magnusonii,332411,S,59,125,184,5.00E-05,control,male,-4.301029996,1
17.unmapped,Pseudogulbenkiania sp. NH8B,748280,S,10,33,43,1.00E-05,control,male,-5,1
17.unmapped,Candidatus Accumulibacter phosphatis,327160,S,3259,818,4077,0.001,control,male,-3,1
17.unmapped,Betaproteobacteria bacterium GR16-43,1904640,S,1259,411,1670,0.00041,control,male,-3.387216143,1
17.unmapped,Candidatus Kinetoplastibacterium sorsogonicusi,1576550,S,151,130,281,7.00E-05,control,male,-4.15490196,1
17.unmapped,Candidatus Kinetoplastibacterium galatii,994695,S,80,176,256,6.00E-05,control,male,-4.22184875,1
17.unmapped,Candidatus Kinetoplastibacterium oncopeltii,994696,S,20,37,57,1.00E-05,control,male,-5,1
17.unmapped,Candidatus Profftella armatura,669502,S,461,113,574,0.00014,control,male,-3.853871964,1
17.unmapped,Candidatus Nasuia deltocephalinicola,1160784,S,39,7,46,1.00E-05,control,male,-5,1
17.unmapped,Acinetobacter sp. TTH0-4,1646498,S,2136,3850,5986,0.00147,control,male,-2.832682665,1
17.unmapped,Acinetobacter lwoffii,28090,S,1067,4916,5983,0.00147,control,male,-2.832682665,1
17.unmapped,Acinetobacter baumannii,470,S,306,49593,49899,0.01224,control,male,-1.912218582,1
17.unmapped,Acinetobacter pittii,48296,S,100,521,621,0.00015,control,male,-3.823908741,1
17.unmapped,Acinetobacter sp. NCu2D-2,1608473,S,768,1628,2396,0.00059,control,male,-3.229147988,1
17.unmapped,Acinetobacter sp. WCHAc010034,1879049,S,697,1451,2148,0.00053,control,male,-3.27572413,1
17.unmapped,Acinetobacter sp. TGL-Y2,1407071,S,676,502,1178,0.00029,control,male,-3.537602002,1
17.unmapped,Acinetobacter johnsonii,40214,S,641,34785,35426,0.00869,control,male,-2.060980224,1
17.unmapped,Acinetobacter sp. SWBY1,2079596,S,558,1528,2086,0.00051,control,male,-3.292429824,1
17.unmapped,Acinetobacter schindleri,108981,S,501,2721,3222,0.00079,control,male,-3.102372909,1
17.unmapped,Acinetobacter junii,40215,S,499,2061,2560,0.00063,control,male,-3.200659451,1
17.unmapped,Acinetobacter equi,1324350,S,452,391,843,0.00021,control,male,-3.677780705,1
17.unmapped,Acinetobacter radioresistens,40216,S,443,572,1015,0.00025,control,male,-3.602059991,1
17.unmapped,Acinetobacter wuhouensis,1879050,S,422,944,1366,0.00034,control,male,-3.468521083,1
17.unmapped,Acinetobacter haemolyticus,29430,S,306,913,1219,3.00E-04,control,male,-3.522878745,1
17.unmapped,Acinetobacter sp. ACNIH2,1758189,S,264,727,991,0.00024,control,male,-3.619788758,1
17.unmapped,Acinetobacter bereziniae,106648,S,228,163,391,1.00E-04,control,male,-4,1
17.unmapped,Acinetobacter sp. LoGeW2-3,1808001,S,225,477,702,0.00017,control,male,-3.769551079,1
17.unmapped,Acinetobacter venetianus,52133,S,219,682,901,0.00022,control,male,-3.657577319,1
17.unmapped,Acinetobacter sp. ACNIH1,1636603,S,205,1299,1504,0.00037,control,male,-3.431798276,1
17.unmapped,Acinetobacter indicus,756892,S,187,641,828,2.00E-04,control,male,-3.698970004,1
17.unmapped,Acinetobacter sp. WCHA45,2004644,S,157,849,1006,0.00025,control,male,-3.602059991,1
17.unmapped,Acinetobacter larvae,1789224,S,109,74,183,4.00E-05,control,male,-4.397940009,1
17.unmapped,Acinetobacter sp. WCHA55,2004646,S,53,427,480,0.00012,control,male,-3.920818754,1
17.unmapped,Acinetobacter oleivorans,1148157,S,25,179,204,5.00E-05,control,male,-4.301029996,1
17.unmapped,Acinetobacter soli,487316,S,20,30,50,1.00E-05,control,male,-5,1
17.unmapped,Psychrobacter sp. AntiMn-1,1720344,S,1140,9523,10663,0.00262,control,male,-2.581698709,1
17.unmapped,Psychrobacter sp. DAB_AL43B,1028416,S,471,2789,3260,8.00E-04,control,male,-3.096910013,1
17.unmapped,Psychrobacter sp. P11F6,1699621,S,352,3461,3813,0.00094,control,male,-3.026872146,1
17.unmapped,Psychrobacter urativorans,45610,S,332,1422,1754,0.00043,control,male,-3.366531544,1
17.unmapped,Psychrobacter alimentarius,261164,S,214,1838,2052,5.00E-04,control,male,-3.301029996,1
17.unmapped,Psychrobacter cryohalolentis,330922,S,13,2133,2146,0.00053,control,male,-3.27572413,1
17.unmapped,Moraxellaceae bacterium HYN0046,2283318,S,5209,2327,7536,0.00185,control,male,-2.732828272,1
17.unmapped,Moraxella osloensis,34062,S,2138,8564,10702,0.00262,control,male,-2.581698709,1
17.unmapped,Moraxella catarrhalis,480,S,312,289,601,0.00015,control,male,-3.823908741,1
17.unmapped,Moraxella bovis,476,S,211,400,611,0.00015,control,male,-3.823908741,1
17.unmapped,Moraxella ovis,29433,S,19,436,455,0.00011,control,male,-3.958607315,1
17.unmapped,Pseudomonas stutzeri,316,S,1337,897,2234,0.00055,control,male,-3.259637311,1
17.unmapped,Pseudomonas putida,303,S,643,6100,6743,0.00165,control,male,-2.782516056,1
17.unmapped,Pseudomonas plecoglossicida,70775,S,84,318,402,1.00E-04,control,male,-4,1
17.unmapped,Pseudomonas fulva,47880,S,23,8,31,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas fluorescens,294,S,260,717,977,0.00024,control,male,-3.619788758,1
17.unmapped,Pseudomonas mucidolens,46679,S,89,36,125,3.00E-05,control,male,-4.522878745,1
17.unmapped,Pseudomonas azotoformans,47878,S,74,81,155,4.00E-05,control,male,-4.397940009,1
17.unmapped,Pseudomonas tolaasii,29442,S,43,24,67,2.00E-05,control,male,-4.698970004,1
17.unmapped,Pseudomonas synxantha,47883,S,43,41,84,2.00E-05,control,male,-4.698970004,1
17.unmapped,Pseudomonas protegens,380021,S,41,28,69,2.00E-05,control,male,-4.698970004,1
17.unmapped,Pseudomonas brenneri,129817,S,28,27,55,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas libanensis,75588,S,25,36,61,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas orientalis,76758,S,13,9,22,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas mandelii,75612,S,11,10,21,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas aeruginosa,287,S,275,33858,34133,0.00837,control,male,-2.077274542,1
17.unmapped,Pseudomonas mendocina,300,S,155,105,260,6.00E-05,control,male,-4.22184875,1
17.unmapped,Pseudomonas furukawaii,1149133,S,32,16,48,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas alcaligenes,43263,S,23,9,32,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas citronellolis,53408,S,14,8,22,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas litoralis,797277,S,439,91,530,0.00013,control,male,-3.886056648,1
17.unmapped,Pseudomonas sabulinigri,472181,S,366,51,417,1.00E-04,control,male,-4,1
17.unmapped,Pseudomonas chlororaphis,587753,S,258,583,841,0.00021,control,male,-3.677780705,1
17.unmapped,Pseudomonas fragi,296,S,10,47,57,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas knackmussii,65741,S,271,350,621,0.00015,control,male,-3.823908741,1
17.unmapped,Pseudomonas sp. R2A2,2213057,S,259,257,516,0.00013,control,male,-3.886056648,1
17.unmapped,Pseudomonas syringae,317,S,125,303,428,1.00E-04,control,male,-4,1
17.unmapped,Pseudomonas viridiflava,33069,S,71,23,94,2.00E-05,control,male,-4.698970004,1
17.unmapped,Pseudomonas cichorii,36746,S,22,6,28,1.00E-05,control,male,-5,1
17.unmapped,Pseudomonas sp. TCU-HL1,1856685,S,206,69,275,7.00E-05,control,male,-4.15490196,1
17.unmapped,Pseudomonas sp. CC6-YY-74,1930532,S,174,47,221,5.00E-05,control,male,-4.301029996,1
17.unmapped,Pseudomonas koreensis,198620,S,118,149,267,7.00E-05,control,male,-4.15490196,1
17.unmapped,Pseudomonas oryzae,1392877,S,71,48,119,3.00E-05,control,male,-4.522878745,1
17.unmapped,Pseudomonas psychrotolerans,237610,S,57,18,75,2.00E-05,control,male,-4.698970004,1
