name,rank,id,species
Comamonadaceae,family,80864,Melaminivora sp. SC2-9
Melaminivora,genus,1649468,Melaminivora sp. SC2-9
unclassified Melaminivora,no rank,2641902,Melaminivora sp. SC2-9
Melaminivora sp. SC2-9,species,2109913,Melaminivora sp. SC2-9
cellular organisms,no rank,131567,Leptothrix cholodnii
Bacteria,superkingdom,2,Leptothrix cholodnii
Proteobacteria,phylum,1224,Leptothrix cholodnii
Betaproteobacteria,class,28216,Leptothrix cholodnii
Burkholderiales,order,80840,Leptothrix cholodnii
Burkholderiales genera incertae sedis,no rank,224471,Leptothrix cholodnii
Leptothrix,genus,88,Leptothrix cholodnii
Leptothrix cholodnii,species,34029,Leptothrix cholodnii
cellular organisms,no rank,131567,Mitsuaria sp. 7
Bacteria,superkingdom,2,Mitsuaria sp. 7
Proteobacteria,phylum,1224,Mitsuaria sp. 7
Betaproteobacteria,class,28216,Mitsuaria sp. 7
Burkholderiales,order,80840,Mitsuaria sp. 7
Sphaerotilaceae,family,2975441,Mitsuaria sp. 7
Mitsuaria,genus,65047,Mitsuaria sp. 7
unclassified Mitsuaria,no rank,2648776,Mitsuaria sp. 7
Mitsuaria sp. 7,species,1658665,Mitsuaria sp. 7
cellular organisms,no rank,131567,Paucibacter sp. KCTC 42545
Bacteria,superkingdom,2,Paucibacter sp. KCTC 42545
Proteobacteria,phylum,1224,Paucibacter sp. KCTC 42545
Betaproteobacteria,class,28216,Paucibacter sp. KCTC 42545
Burkholderiales,order,80840,Paucibacter sp. KCTC 42545
Burkholderiales genera incertae sedis,no rank,224471,Paucibacter sp. KCTC 42545
Paucibacter,genus,318147,Paucibacter sp. KCTC 42545
unclassified Paucibacter,no rank,2642959,Paucibacter sp. KCTC 42545
Paucibacter sp. KCTC 42545,species,1768242,Paucibacter sp. KCTC 42545
cellular organisms,no rank,131567,Rubrivivax gelatinosus
Bacteria,superkingdom,2,Rubrivivax gelatinosus
Proteobacteria,phylum,1224,Rubrivivax gelatinosus
Betaproteobacteria,class,28216,Rubrivivax gelatinosus
Burkholderiales,order,80840,Rubrivivax gelatinosus
Sphaerotilaceae,family,2975441,Rubrivivax gelatinosus
Rubrivivax,genus,28067,Rubrivivax gelatinosus
Rubrivivax gelatinosus,species,28068,Rubrivivax gelatinosus
cellular organisms,no rank,131567,Methylibium petroleiphilum
Bacteria,superkingdom,2,Methylibium petroleiphilum
Proteobacteria,phylum,1224,Methylibium petroleiphilum
Betaproteobacteria,class,28216,Methylibium petroleiphilum
Burkholderiales,order,80840,Methylibium petroleiphilum
Sphaerotilaceae,family,2975441,Methylibium petroleiphilum
Methylibium,genus,316612,Methylibium petroleiphilum
Methylibium petroleiphilum,species,105560,Methylibium petroleiphilum
cellular organisms,no rank,131567,Rhizobacter gummiphilus
Bacteria,superkingdom,2,Rhizobacter gummiphilus
Proteobacteria,phylum,1224,Rhizobacter gummiphilus
Betaproteobacteria,class,28216,Rhizobacter gummiphilus
Burkholderiales,order,80840,Rhizobacter gummiphilus
Burkholderiales genera incertae sedis,no rank,224471,Rhizobacter gummiphilus
Rhizobacter,genus,212743,Rhizobacter gummiphilus
Rhizobacter gummiphilus,species,946333,Rhizobacter gummiphilus
cellular organisms,no rank,131567,Thiomonas sp. X19
Bacteria,superkingdom,2,Thiomonas sp. X19
Proteobacteria,phylum,1224,Thiomonas sp. X19
Betaproteobacteria,class,28216,Thiomonas sp. X19
Burkholderiales,order,80840,Thiomonas sp. X19
Burkholderiales genera incertae sedis,no rank,224471,Thiomonas sp. X19
Thiomonas,genus,32012,Thiomonas sp. X19
unclassified Thiomonas,no rank,2625466,Thiomonas sp. X19
Thiomonas sp. X19,species,1050370,Thiomonas sp. X19
cellular organisms,no rank,131567,Roseateles depolymerans
Bacteria,superkingdom,2,Roseateles depolymerans
Proteobacteria,phylum,1224,Roseateles depolymerans
Betaproteobacteria,class,28216,Roseateles depolymerans
Burkholderiales,order,80840,Roseateles depolymerans
Sphaerotilaceae,family,2975441,Roseateles depolymerans
Roseateles,genus,93681,Roseateles depolymerans
Roseateles depolymerans,species,76731,Roseateles depolymerans
cellular organisms,no rank,131567,Burkholderiales bacterium JOSHI_001
Bacteria,superkingdom,2,Burkholderiales bacterium JOSHI_001
Proteobacteria,phylum,1224,Burkholderiales bacterium JOSHI_001
Betaproteobacteria,class,28216,Burkholderiales bacterium JOSHI_001
Burkholderiales,order,80840,Burkholderiales bacterium JOSHI_001
unclassified Burkholderiales,no rank,80841,Burkholderiales bacterium JOSHI_001
Burkholderiales bacterium JOSHI_001,species,864051,Burkholderiales bacterium JOSHI_001
cellular organisms,no rank,131567,Polyangium brachysporum
Bacteria,superkingdom,2,Polyangium brachysporum
Proteobacteria,phylum,1224,Polyangium brachysporum
Betaproteobacteria,class,28216,Polyangium brachysporum
Burkholderiales,order,80840,Polyangium brachysporum
Sphaerotilaceae,family,2975441,Polyangium brachysporum
Schlegelella,genus,215579,Polyangium brachysporum
Schlegelella brevitalea,species,413882,Polyangium brachysporum
cellular organisms,no rank,131567,Massilia violaceinigra
Bacteria,superkingdom,2,Massilia violaceinigra
Proteobacteria,phylum,1224,Massilia violaceinigra
Betaproteobacteria,class,28216,Massilia violaceinigra
Burkholderiales,order,80840,Massilia violaceinigra
Oxalobacteraceae,family,75682,Massilia violaceinigra
Massilia group,no rank,2895353,Massilia violaceinigra
Massilia,genus,149698,Massilia violaceinigra
Massilia violaceinigra,species,2045208,Massilia violaceinigra
cellular organisms,no rank,131567,Massilia sp. NR 4-1
Bacteria,superkingdom,2,Massilia sp. NR 4-1
Proteobacteria,phylum,1224,Massilia sp. NR 4-1
Betaproteobacteria,class,28216,Massilia sp. NR 4-1
Burkholderiales,order,80840,Massilia sp. NR 4-1
Oxalobacteraceae,family,75682,Massilia sp. NR 4-1
Massilia group,no rank,2895353,Massilia sp. NR 4-1
Massilia,genus,149698,Massilia sp. NR 4-1
unclassified Massilia,no rank,2609279,Massilia sp. NR 4-1
Massilia sp. NR 4-1,species,1678028,Massilia sp. NR 4-1
cellular organisms,no rank,131567,Massilia timonae
Bacteria,superkingdom,2,Massilia timonae
Proteobacteria,phylum,1224,Massilia timonae
Betaproteobacteria,class,28216,Massilia timonae
Burkholderiales,order,80840,Massilia timonae
Oxalobacteraceae,family,75682,Massilia timonae
Massilia group,no rank,2895353,Massilia timonae
Massilia,genus,149698,Massilia timonae
Massilia timonae,species,47229,Massilia timonae
cellular organisms,no rank,131567,Massilia sp. WG5
Bacteria,superkingdom,2,Massilia sp. WG5
Proteobacteria,phylum,1224,Massilia sp. WG5
Betaproteobacteria,class,28216,Massilia sp. WG5
Burkholderiales,order,80840,Massilia sp. WG5
Oxalobacteraceae,family,75682,Massilia sp. WG5
Massilia group,no rank,2895353,Massilia sp. WG5
Massilia,genus,149698,Massilia sp. WG5
unclassified Massilia,no rank,2609279,Massilia sp. WG5
Massilia sp. WG5,species,1707785,Massilia sp. WG5
cellular organisms,no rank,131567,Massilia putida
Bacteria,superkingdom,2,Massilia putida
Proteobacteria,phylum,1224,Massilia putida
Betaproteobacteria,class,28216,Massilia putida
Burkholderiales,order,80840,Massilia putida
Oxalobacteraceae,family,75682,Massilia putida
Massilia group,no rank,2895353,Massilia putida
Massilia,genus,149698,Massilia putida
Massilia putida,species,1141883,Massilia putida
cellular organisms,no rank,131567,Janthinobacterium agaricidamnosum
Bacteria,superkingdom,2,Janthinobacterium agaricidamnosum
Proteobacteria,phylum,1224,Janthinobacterium agaricidamnosum
Betaproteobacteria,class,28216,Janthinobacterium agaricidamnosum
Burkholderiales,order,80840,Janthinobacterium agaricidamnosum
Oxalobacteraceae,family,75682,Janthinobacterium agaricidamnosum
Janthinobacterium,genus,29580,Janthinobacterium agaricidamnosum
Janthinobacterium agaricidamnosum,species,55508,Janthinobacterium agaricidamnosum
cellular organisms,no rank,131567,Janthinobacterium sp. LM6
Bacteria,superkingdom,2,Janthinobacterium sp. LM6
Proteobacteria,phylum,1224,Janthinobacterium sp. LM6
Betaproteobacteria,class,28216,Janthinobacterium sp. LM6
Burkholderiales,order,80840,Janthinobacterium sp. LM6
Oxalobacteraceae,family,75682,Janthinobacterium sp. LM6
Janthinobacterium,genus,29580,Janthinobacterium sp. LM6
unclassified Janthinobacterium,no rank,2610881,Janthinobacterium sp. LM6
Janthinobacterium sp. LM6,species,1938606,Janthinobacterium sp. LM6
cellular organisms,no rank,131567,Janthinobacterium svalbardensis
Bacteria,superkingdom,2,Janthinobacterium svalbardensis
Proteobacteria,phylum,1224,Janthinobacterium svalbardensis
Betaproteobacteria,class,28216,Janthinobacterium svalbardensis
Burkholderiales,order,80840,Janthinobacterium svalbardensis
Oxalobacteraceae,family,75682,Janthinobacterium svalbardensis
Janthinobacterium,genus,29580,Janthinobacterium svalbardensis
Janthinobacterium svalbardensis,species,368607,Janthinobacterium svalbardensis
cellular organisms,no rank,131567,Collimonas fungivorans
Bacteria,superkingdom,2,Collimonas fungivorans
Proteobacteria,phylum,1224,Collimonas fungivorans
Betaproteobacteria,class,28216,Collimonas fungivorans
Burkholderiales,order,80840,Collimonas fungivorans
Oxalobacteraceae,family,75682,Collimonas fungivorans
Collimonas,genus,202907,Collimonas fungivorans
Collimonas fungivorans,species,158899,Collimonas fungivorans
cellular organisms,no rank,131567,Herminiimonas arsenicoxydans
Bacteria,superkingdom,2,Herminiimonas arsenicoxydans
Proteobacteria,phylum,1224,Herminiimonas arsenicoxydans
Betaproteobacteria,class,28216,Herminiimonas arsenicoxydans
Burkholderiales,order,80840,Herminiimonas arsenicoxydans
Oxalobacteraceae,family,75682,Herminiimonas arsenicoxydans
Herminiimonas,genus,303379,Herminiimonas arsenicoxydans
Herminiimonas arsenicoxydans,species,204773,Herminiimonas arsenicoxydans
cellular organisms,no rank,131567,Burkholderia pseudomallei
Bacteria,superkingdom,2,Burkholderia pseudomallei
Proteobacteria,phylum,1224,Burkholderia pseudomallei
Betaproteobacteria,class,28216,Burkholderia pseudomallei
Burkholderiales,order,80840,Burkholderia pseudomallei
Burkholderiaceae,family,119060,Burkholderia pseudomallei
Burkholderia,genus,32008,Burkholderia pseudomallei
pseudomallei group,species group,111527,Burkholderia pseudomallei
Burkholderia pseudomallei,species,28450,Burkholderia pseudomallei
cellular organisms,no rank,131567,Burkholderia cenocepacia
Bacteria,superkingdom,2,Burkholderia cenocepacia
Proteobacteria,phylum,1224,Burkholderia cenocepacia
Betaproteobacteria,class,28216,Burkholderia cenocepacia
Burkholderiales,order,80840,Burkholderia cenocepacia
Burkholderiaceae,family,119060,Burkholderia cenocepacia
Burkholderia,genus,32008,Burkholderia cenocepacia
Burkholderia cepacia complex,species group,87882,Burkholderia cenocepacia
Burkholderia cenocepacia,species,95486,Burkholderia cenocepacia
cellular organisms,no rank,131567,Hydromonas sp. F02
Bacteria,superkingdom,2,Hydromonas sp. F02
Proteobacteria,phylum,1224,Hydromonas sp. F02
Betaproteobacteria,class,28216,Hydromonas sp. F02
Burkholderiales,order,80840,Hydromonas sp. F02
Burkholderiaceae,family,119060,Hydromonas sp. F02
Ephemeroptericola,genus,2680021,Hydromonas sp. F02
Ephemeroptericola cinctiostellae,species,2268024,Hydromonas sp. F02
cellular organisms,no rank,131567,Ralstonia pickettii
Bacteria,superkingdom,2,Ralstonia pickettii
Proteobacteria,phylum,1224,Ralstonia pickettii
Betaproteobacteria,class,28216,Ralstonia pickettii
Burkholderiales,order,80840,Ralstonia pickettii
Burkholderiaceae,family,119060,Ralstonia pickettii
Ralstonia,genus,48736,Ralstonia pickettii
Ralstonia pickettii,species,329,Ralstonia pickettii
cellular organisms,no rank,131567,Ralstonia solanacearum
Bacteria,superkingdom,2,Ralstonia solanacearum
Proteobacteria,phylum,1224,Ralstonia solanacearum
Betaproteobacteria,class,28216,Ralstonia solanacearum
Burkholderiales,order,80840,Ralstonia solanacearum
Burkholderiaceae,family,119060,Ralstonia solanacearum
Ralstonia,genus,48736,Ralstonia solanacearum
Ralstonia solanacearum,species,305,Ralstonia solanacearum
cellular organisms,no rank,131567,Cupriavidus gilardii
Bacteria,superkingdom,2,Cupriavidus gilardii
Proteobacteria,phylum,1224,Cupriavidus gilardii
Betaproteobacteria,class,28216,Cupriavidus gilardii
Burkholderiales,order,80840,Cupriavidus gilardii
Burkholderiaceae,family,119060,Cupriavidus gilardii
Cupriavidus,genus,106589,Cupriavidus gilardii
Cupriavidus gilardii,species,82541,Cupriavidus gilardii
cellular organisms,no rank,131567,Polynucleobacter necessarius
Bacteria,superkingdom,2,Polynucleobacter necessarius
Proteobacteria,phylum,1224,Polynucleobacter necessarius
Betaproteobacteria,class,28216,Polynucleobacter necessarius
Burkholderiales,order,80840,Polynucleobacter necessarius
Burkholderiaceae,family,119060,Polynucleobacter necessarius
Polynucleobacter,genus,44013,Polynucleobacter necessarius
Polynucleobacter necessarius,species,576610,Polynucleobacter necessarius
cellular organisms,no rank,131567,Orrella dioscoreae
Bacteria,superkingdom,2,Orrella dioscoreae
Proteobacteria,phylum,1224,Orrella dioscoreae
Betaproteobacteria,class,28216,Orrella dioscoreae
Burkholderiales,order,80840,Orrella dioscoreae
Alcaligenaceae,family,506,Orrella dioscoreae
Orrella,genus,1921582,Orrella dioscoreae
Orrella dioscoreae,species,1851544,Orrella dioscoreae
cellular organisms,no rank,131567,Alcaligenes faecalis
Bacteria,superkingdom,2,Alcaligenes faecalis
Proteobacteria,phylum,1224,Alcaligenes faecalis
Betaproteobacteria,class,28216,Alcaligenes faecalis
Burkholderiales,order,80840,Alcaligenes faecalis
Alcaligenaceae,family,506,Alcaligenes faecalis
Alcaligenes,genus,507,Alcaligenes faecalis
Alcaligenes faecalis,species,511,Alcaligenes faecalis
cellular organisms,no rank,131567,Taylorella equigenitalis
Bacteria,superkingdom,2,Taylorella equigenitalis
Proteobacteria,phylum,1224,Taylorella equigenitalis
Betaproteobacteria,class,28216,Taylorella equigenitalis
Burkholderiales,order,80840,Taylorella equigenitalis
Alcaligenaceae,family,506,Taylorella equigenitalis
Taylorella,genus,29574,Taylorella equigenitalis
Taylorella equigenitalis,species,29575,Taylorella equigenitalis
cellular organisms,no rank,131567,Sutterella sp. 6FBBBH3
Bacteria,superkingdom,2,Sutterella sp. 6FBBBH3
Proteobacteria,phylum,1224,Sutterella sp. 6FBBBH3
Betaproteobacteria,class,28216,Sutterella sp. 6FBBBH3
Burkholderiales,order,80840,Sutterella sp. 6FBBBH3
Sutterellaceae,family,995019,Sutterella sp. 6FBBBH3
Sutterella,genus,40544,Sutterella sp. 6FBBBH3
Sutterella megalosphaeroides,species,2494234,Sutterella sp. 6FBBBH3
cellular organisms,no rank,131567,Sideroxydans lithotrophicus
Bacteria,superkingdom,2,Sideroxydans lithotrophicus
Proteobacteria,phylum,1224,Sideroxydans lithotrophicus
Betaproteobacteria,class,28216,Sideroxydans lithotrophicus
Nitrosomonadales,order,32003,Sideroxydans lithotrophicus
Gallionellaceae,family,90627,Sideroxydans lithotrophicus
Sideroxydans,genus,314343,Sideroxydans lithotrophicus
Sideroxydans lithotrophicus,species,63745,Sideroxydans lithotrophicus
cellular organisms,no rank,131567,Sulfuricella denitrificans
Bacteria,superkingdom,2,Sulfuricella denitrificans
Proteobacteria,phylum,1224,Sulfuricella denitrificans
Betaproteobacteria,class,28216,Sulfuricella denitrificans
Nitrosomonadales,order,32003,Sulfuricella denitrificans
Sulfuricellaceae,family,2772226,Sulfuricella denitrificans
Sulfuricella,genus,935200,Sulfuricella denitrificans
Sulfuricella denitrificans,species,649841,Sulfuricella denitrificans
cellular organisms,no rank,131567,Sulfuriferula sp. AH1
Bacteria,superkingdom,2,Sulfuriferula sp. AH1
Proteobacteria,phylum,1224,Sulfuriferula sp. AH1
