Phylum,case,fraction_total_reads,group,sex
Actinobacteria,26.unmapped,0.000208952,control,fem
Actinobacteria,20.unmapped,0.00013188,control,male
Actinobacteria,24.unmapped,5.14E-05,control,fem
Actinobacteria,26.unmapped,4.28E-05,control,fem
Actinobacteria,21.unmapped,6.68E-05,malt,male
Firmicutes,20.unmapped,8.48E-05,control,male
Proteobacteria,22.unmapped,0.000108758,malt,male
Proteobacteria,20.unmapped,5.82E-05,control,male
Proteobacteria,24.unmapped,5.74E-05,control,fem
Proteobacteria,26.unmapped,8.48E-05,control,fem
Proteobacteria,24.unmapped,6.34E-05,control,fem
Proteobacteria,21.unmapped,8.31E-05,malt,male
Proteobacteria,22.unmapped,0.000253483,malt,male
Proteobacteria,27.unmapped,0.000107045,malt,fem
Proteobacteria,29.unmapped,0.000208952,malt,fem
Proteobacteria,19.unmapped,0.000170416,control,male
Proteobacteria,28.unmapped,0.000275748,malt,fem
Proteobacteria,17.unmapped,0.000290306,control,male
Proteobacteria,23.unmapped,0.000121603,malt,male
Proteobacteria,18.unmapped,0.000174698,control,male
Proteobacteria,26.unmapped,4.20E-05,control,fem
Proteobacteria,23.unmapped,4.11E-05,malt,male
Actinobacteria,20.unmapped,7.54E-05,control,male
Actinobacteria,27.unmapped,5.05E-05,malt,fem
Verrucomicrobia,24.unmapped,8.48E-05,control,fem
Verrucomicrobia,17.unmapped,9.25E-05,control,male
Verrucomicrobia,25.unmapped,8.14E-05,control,fem
Verrucomicrobia,19.unmapped,8.82E-05,control,male
Verrucomicrobia,26.unmapped,7.88E-05,control,fem
Verrucomicrobia,29.unmapped,0.000119034,malt,fem
Verrucomicrobia,28.unmapped,0.000123316,malt,fem
Verrucomicrobia,20.unmapped,7.96E-05,control,male
Verrucomicrobia,27.unmapped,6.59E-05,malt,fem
Verrucomicrobia,21.unmapped,5.48E-05,malt,male
Verrucomicrobia,22.unmapped,9.51E-05,malt,male
Verrucomicrobia,18.unmapped,0.000101051,control,male
Proteobacteria,27.unmapped,5.57E-05,malt,fem
Proteobacteria,21.unmapped,4.80E-05,malt,male
Proteobacteria,23.unmapped,0.000184974,malt,male
Proteobacteria,20.unmapped,7.71E-05,control,male
Proteobacteria,24.unmapped,5.05E-05,control,fem
Proteobacteria,27.unmapped,4.20E-05,malt,fem
Proteobacteria,25.unmapped,8.22E-05,control,fem
Proteobacteria,19.unmapped,4.11E-05,control,male
Bacteroidota,18.unmapped,5.99E-05,control,male
Bacteroidota,19.unmapped,4.11E-05,control,male
Bacteroidota,28.unmapped,4.97E-05,malt,fem
Proteobacteria,21.unmapped,4.11E-05,malt,male
Proteobacteria,29.unmapped,5.74E-05,malt,fem
Cyanobacteria,17.unmapped,5.05E-05,control,male
Cyanobacteria,17.unmapped,0.000996804,control,male
Cyanobacteria,27.unmapped,0.00011304,malt,fem
Firmicutes,26.unmapped,5.91E-05,control,fem
Firmicutes,20.unmapped,0.00011304,control,male
Firmicutes,26.unmapped,8.39E-05,control,fem
Chloroflexi,18.unmapped,4.37E-05,control,male
Chloroflexi,22.unmapped,5.65E-05,malt,male
Chloroflexi,28.unmapped,4.71E-05,malt,fem
Chloroflexi,17.unmapped,4.88E-05,control,male
Chloroflexi,29.unmapped,4.97E-05,malt,fem
Proteobacteria,29.unmapped,4.28E-05,malt,fem
Firmicutes,17.unmapped,5.65E-05,control,male
Firmicutes,29.unmapped,6.59E-05,malt,fem
Firmicutes,22.unmapped,6.08E-05,malt,male
Proteobacteria,26.unmapped,0.000132736,control,fem
Proteobacteria,20.unmapped,6.08E-05,control,male
Proteobacteria,29.unmapped,5.22E-05,malt,fem
Proteobacteria,21.unmapped,0.000121603,malt,male
Proteobacteria,18.unmapped,8.14E-05,control,male
Proteobacteria,22.unmapped,7.02E-05,malt,male
Proteobacteria,28.unmapped,4.88E-05,malt,fem
Proteobacteria,24.unmapped,9.16E-05,control,fem
Proteobacteria,25.unmapped,5.57E-05,control,fem
Proteobacteria,17.unmapped,6.94E-05,control,male
Proteobacteria,29.unmapped,6.08E-05,malt,fem
Proteobacteria,22.unmapped,5.74E-05,malt,male
Proteobacteria,28.unmapped,4.88E-05,malt,fem
Proteobacteria,17.unmapped,4.80E-05,control,male
Bacteroidota,27.unmapped,8.82E-05,malt,fem
Bacteroidota,24.unmapped,7.02E-05,control,fem
Bacteroidota,18.unmapped,0.000155001,control,male
Bacteroidota,17.unmapped,0.000193538,control,male
Bacteroidota,29.unmapped,0.000156714,malt,fem
Bacteroidota,22.unmapped,0.00015757,malt,male
Bacteroidota,19.unmapped,9.59E-05,control,male
Bacteroidota,25.unmapped,8.65E-05,control,fem
Bacteroidota,21.unmapped,5.82E-05,malt,male
Bacteroidota,28.unmapped,0.00012931,malt,fem
Bacteroidota,20.unmapped,6.34E-05,control,male
Bacteroidota,26.unmapped,5.82E-05,control,fem
Bacteroidota,22.unmapped,0.00014815,malt,male
Bacteroidota,18.unmapped,0.000108758,control,male
Bacteroidota,17.unmapped,0.000113896,control,male
Bacteroidota,26.unmapped,8.56E-05,control,fem
Bacteroidota,19.unmapped,9.76E-05,control,male
Bacteroidota,28.unmapped,0.000105332,malt,fem
Bacteroidota,20.unmapped,5.14E-05,control,male
Bacteroidota,29.unmapped,0.00012246,malt,fem
Bacteroidota,27.unmapped,6.94E-05,malt,fem
Bacteroidota,21.unmapped,7.02E-05,malt,male
Bacteroidota,23.unmapped,4.54E-05,malt,male
Bacteroidota,24.unmapped,5.40E-05,control,fem
Actinobacteria,27.unmapped,0.000208952,malt,fem
Actinobacteria,20.unmapped,5.14E-05,control,male
Actinobacteria,26.unmapped,0.00025177,control,fem
Actinobacteria,24.unmapped,0.000134449,control,fem
Bacteroidota,27.unmapped,6.77E-05,malt,fem
Proteobacteria,18.unmapped,0.000117321,control,male
Actinobacteria,25.unmapped,8.05E-05,control,fem
Actinobacteria,24.unmapped,0.000160996,control,fem
Actinobacteria,19.unmapped,6.17E-05,control,male
Actinobacteria,27.unmapped,0.000109614,malt,fem
Actinobacteria,20.unmapped,0.000135305,control,male
Actinobacteria,29.unmapped,5.48E-05,malt,fem
Actinobacteria,21.unmapped,0.000147294,malt,male
Actinobacteria,28.unmapped,5.40E-05,malt,fem
Actinobacteria,17.unmapped,7.79E-05,control,male
Actinobacteria,18.unmapped,7.88E-05,control,male
Actinobacteria,27.unmapped,4.20E-05,malt,fem
Proteobacteria,29.unmapped,5.57E-05,malt,fem
Proteobacteria,26.unmapped,4.88E-05,control,fem
Proteobacteria,20.unmapped,5.91E-05,control,male
Proteobacteria,25.unmapped,7.62E-05,control,fem
Proteobacteria,19.unmapped,5.82E-05,control,male
Proteobacteria,23.unmapped,0.000221797,malt,male
Proteobacteria,27.unmapped,4.45E-05,malt,fem
Proteobacteria,22.unmapped,5.74E-05,malt,male
Actinobacteria,21.unmapped,4.62E-05,malt,male
Proteobacteria,27.unmapped,6.77E-05,malt,fem
Proteobacteria,18.unmapped,0.000137018,control,male
Proteobacteria,27.unmapped,5.91E-05,malt,fem
Proteobacteria,22.unmapped,4.20E-05,malt,male
Proteobacteria,18.unmapped,5.99E-05,control,male
Proteobacteria,28.unmapped,5.22E-05,malt,fem
Proteobacteria,27.unmapped,7.19E-05,malt,fem
Artverviricota,21.unmapped,5.65E-05,malt,male
Firmicutes,20.unmapped,0.002538254,control,male
Firmicutes,19.unmapped,0.004726256,control,male
Firmicutes,26.unmapped,0.001883138,control,fem
Firmicutes,17.unmapped,0.002910771,control,male
Firmicutes,25.unmapped,0.001095286,control,fem
Firmicutes,22.unmapped,0.004136223,malt,male
Firmicutes,18.unmapped,0.003165966,control,male
Firmicutes,23.unmapped,0.000667105,malt,male
Firmicutes,28.unmapped,0.003517074,malt,fem
Firmicutes,24.unmapped,0.002789167,control,fem
Firmicutes,27.unmapped,0.002451761,malt,fem
Firmicutes,29.unmapped,0.003029805,malt,fem
Firmicutes,21.unmapped,0.001326503,malt,male
Firmicutes,28.unmapped,0.000579756,malt,fem
Firmicutes,21.unmapped,0.000598596,malt,male
Firmicutes,18.unmapped,0.000897466,control,male
Firmicutes,25.unmapped,0.00051296,control,fem
Firmicutes,19.unmapped,0.001383879,control,male
Firmicutes,29.unmapped,0.000827245,malt,fem
Firmicutes,17.unmapped,0.001240867,control,male
Firmicutes,20.unmapped,0.000620862,control,male
Firmicutes,23.unmapped,0.000130167,malt,male
Firmicutes,26.unmapped,0.001037909,control,fem
Firmicutes,22.unmapped,0.001497775,malt,male
Firmicutes,24.unmapped,0.000750172,control,fem
Firmicutes,27.unmapped,0.000632851,malt,fem
Firmicutes,26.unmapped,0.000852935,control,fem
Firmicutes,28.unmapped,0.001191198,malt,fem
Firmicutes,21.unmapped,0.000759592,malt,male
Firmicutes,29.unmapped,0.001090147,malt,fem
Firmicutes,19.unmapped,0.001060175,control,male
Firmicutes,22.unmapped,0.000817825,malt,male
Firmicutes,17.unmapped,0.000810117,control,male
Firmicutes,20.unmapped,0.000659398,control,male
Firmicutes,24.unmapped,0.000739039,control,fem
Firmicutes,18.unmapped,0.000772438,control,male
Firmicutes,25.unmapped,0.001423272,control,fem
Firmicutes,27.unmapped,0.000977964,malt,fem
Firmicutes,23.unmapped,0.000221797,malt,male
Firmicutes,18.unmapped,0.002105791,control,male
Firmicutes,25.unmapped,0.00085893,control,fem
Firmicutes,21.unmapped,0.001865154,malt,male
Firmicutes,17.unmapped,0.001603964,control,male
Firmicutes,24.unmapped,0.00125885,control,fem
Firmicutes,19.unmapped,0.000890615,control,male
Firmicutes,29.unmapped,0.001860872,malt,fem
Firmicutes,23.unmapped,0.000370804,malt,male
Firmicutes,27.unmapped,0.001344487,malt,fem
Firmicutes,20.unmapped,0.001127827,control,male
Firmicutes,28.unmapped,0.002170018,malt,fem
Firmicutes,22.unmapped,0.001986757,malt,male
Firmicutes,26.unmapped,0.000751028,control,fem
Firmicutes,25.unmapped,0.000333981,control,fem
Firmicutes,20.unmapped,0.000296301,control,male
Firmicutes,24.unmapped,0.000215803,control,fem
Firmicutes,18.unmapped,0.000117321,control,male
Firmicutes,28.unmapped,0.000416191,malt,fem
Firmicutes,19.unmapped,0.000158427,control,male
Firmicutes,21.unmapped,0.000337406,malt,male
Firmicutes,17.unmapped,0.000240637,control,male
Firmicutes,22.unmapped,6.34E-05,malt,male
Firmicutes,29.unmapped,0.000419617,malt,fem
Firmicutes,21.unmapped,0.000244063,malt,male
Firmicutes,24.unmapped,0.000415335,control,fem
Firmicutes,22.unmapped,0.000497546,malt,male
Firmicutes,19.unmapped,0.000263759,control,male
Firmicutes,25.unmapped,0.000412766,control,fem
Firmicutes,17.unmapped,0.000761305,control,male
Firmicutes,23.unmapped,8.14E-05,malt,male
Firmicutes,26.unmapped,0.001070451,control,fem
Firmicutes,28.unmapped,0.000425611,malt,fem
Firmicutes,20.unmapped,0.000152432,control,male
Firmicutes,27.unmapped,0.000254339,malt,fem
Firmicutes,29.unmapped,0.000476993,malt,fem
Firmicutes,18.unmapped,0.000676525,control,male
Firmicutes,17.unmapped,0.000189256,control,male
Firmicutes,22.unmapped,0.000568624,malt,male
Firmicutes,20.unmapped,7.62E-05,control,male
Firmicutes,25.unmapped,5.91E-05,control,fem
Firmicutes,28.unmapped,0.000315997,malt,fem
Firmicutes,24.unmapped,0.000246632,control,fem
Firmicutes,18.unmapped,0.000238068,control,male
Firmicutes,26.unmapped,0.000182405,control,fem
Firmicutes,29.unmapped,0.001177496,malt,fem
Firmicutes,19.unmapped,0.000189256,control,male
Firmicutes,21.unmapped,0.000100194,malt,male
Firmicutes,27.unmapped,0.000152432,malt,fem
Firmicutes,24.unmapped,5.14E-05,control,fem
Firmicutes,18.unmapped,5.65E-05,control,male
Firmicutes,22.unmapped,7.54E-05,malt,male
Firmicutes,26.unmapped,7.79E-05,control,fem
Firmicutes,21.unmapped,0.000172985,malt,male
Firmicutes,19.unmapped,4.11E-05,control,male
Firmicutes,28.unmapped,6.68E-05,malt,fem
Firmicutes,17.unmapped,6.34E-05,control,male
Firmicutes,20.unmapped,4.88E-05,control,male
Firmicutes,29.unmapped,5.65E-05,malt,fem
Firmicutes,27.unmapped,4.62E-05,malt,fem
Firmicutes,25.unmapped,9.33E-05,control,fem
Proteobacteria,29.unmapped,6.94E-05,malt,fem
Proteobacteria,18.unmapped,5.74E-05,control,male
Proteobacteria,17.unmapped,7.71E-05,control,male
Proteobacteria,19.unmapped,6.85E-05,control,male
Proteobacteria,22.unmapped,7.36E-05,malt,male
Proteobacteria,28.unmapped,8.73E-05,malt,fem
Bacteroidota,17.unmapped,6.51E-05,control,male
Bacteroidota,22.unmapped,6.59E-05,malt,male
Bacteroidota,28.unmapped,6.08E-05,malt,fem
Bacteroidota,19.unmapped,4.88E-05,control,male
Bacteroidota,29.unmapped,5.14E-05,malt,fem
Bacteroidota,18.unmapped,5.14E-05,control,male
Bacteroidota,19.unmapped,9.33E-05,control,male
Bacteroidota,22.unmapped,7.71E-05,malt,male
Bacteroidota,29.unmapped,8.48E-05,malt,fem
Bacteroidota,22.unmapped,6.94E-05,malt,male
Bacteroidota,19.unmapped,5.40E-05,control,male
Bacteroidota,28.unmapped,5.57E-05,malt,fem
Bacteroidota,18.unmapped,4.71E-05,control,male
Bacteroidota,17.unmapped,5.31E-05,control,male
Bacteroidota,29.unmapped,6.34E-05,malt,fem
Bacteroidota,23.unmapped,7.45E-05,malt,male
Bacteroidota,17.unmapped,0.000243206,control,male
Bacteroidota,18.unmapped,0.00018583,control,male
Bacteroidota,26.unmapped,9.42E-05,control,fem
Bacteroidota,19.unmapped,0.000190112,control,male
Bacteroidota,29.unmapped,0.000214947,malt,fem
Bacteroidota,28.unmapped,0.000268897,malt,fem
Bacteroidota,24.unmapped,0.000101907,control,fem
Bacteroidota,21.unmapped,8.05E-05,malt,male
Bacteroidota,20.unmapped,6.42E-05,control,male
Bacteroidota,27.unmapped,9.59E-05,malt,fem
Bacteroidota,22.unmapped,0.00023293,malt,male
Bacteroidota,25.unmapped,5.82E-05,control,fem
Bacteroidota,21.unmapped,4.11E-05,malt,male
Proteobacteria,19.unmapped,0.000209808,control,male
Proteobacteria,21.unmapped,0.000130167,malt,male
Proteobacteria,19.unmapped,4.11E-05,control,male
Proteobacteria,26.unmapped,5.40E-05,control,fem
Proteobacteria,25.unmapped,6.59E-05,control,fem
Proteobacteria,20.unmapped,4.88E-05,control,male
Proteobacteria,24.unmapped,6.42E-05,control,fem
Proteobacteria,21.unmapped,5.74E-05,malt,male
Proteobacteria,28.unmapped,4.54E-05,malt,fem
Proteobacteria,22.unmapped,4.20E-05,malt,male
Proteobacteria,20.unmapped,4.37E-05,control,male
Bacteroidota,28.unmapped,4.97E-05,malt,fem
Proteobacteria,18.unmapped,4.54E-05,control,male
Proteobacteria,28.unmapped,4.20E-05,malt,fem
Actinobacteria,17.unmapped,5.57E-05,control,male
Actinobacteria,24.unmapped,4.37E-05,control,fem
Actinobacteria,26.unmapped,5.99E-05,control,fem
Actinobacteria,28.unmapped,0.000102763,malt,fem
Actinobacteria,18.unmapped,8.22E-05,control,male
Actinobacteria,22.unmapped,4.88E-05,malt,male
Actinobacteria,27.unmapped,0.000147294,malt,fem
Actinobacteria,29.unmapped,7.36E-05,malt,fem
Actinobacteria,21.unmapped,6.59E-05,malt,male
Actinobacteria,19.unmapped,7.79E-05,control,male
Actinobacteria,17.unmapped,0.000124172,control,male
Actinobacteria,20.unmapped,5.99E-05,control,male
Actinobacteria,25.unmapped,7.79E-05,control,fem
Actinobacteria,24.unmapped,8.48E-05,control,fem
Actinobacteria,22.unmapped,7.54E-05,malt,male
Actinobacteria,24.unmapped,0.000100194,control,fem
Actinobacteria,18.unmapped,5.14E-05,control,male
Actinobacteria,20.unmapped,7.02E-05,control,male
Actinobacteria,27.unmapped,5.48E-05,malt,fem
Firmicutes,25.unmapped,9.33E-05,control,fem
Firmicutes,19.unmapped,0.00028945,control,male
Firmicutes,28.unmapped,0.000672243,malt,fem
Firmicutes,29.unmapped,0.000226079,malt,fem
Firmicutes,27.unmapped,0.000250057,malt,fem
Firmicutes,22.unmapped,0.000282599,malt,male
Firmicutes,17.unmapped,0.000470142,control,male
Firmicutes,26.unmapped,0.000162709,control,fem
Firmicutes,18.unmapped,0.00035539,control,male
Firmicutes,24.unmapped,0.000365666,control,fem
Proteobacteria,26.unmapped,5.40E-05,control,fem
Proteobacteria,25.unmapped,5.22E-05,control,fem
Proteobacteria,23.unmapped,5.05E-05,malt,male
Proteobacteria,26.unmapped,4.28E-05,control,fem
Proteobacteria,25.unmapped,4.11E-05,control,fem
Proteobacteria,17.unmapped,5.22E-05,control,male
Proteobacteria,19.unmapped,9.51E-05,control,male
Proteobacteria,22.unmapped,4.88E-05,malt,male
Proteobacteria,25.unmapped,0.000130167,control,fem
Proteobacteria,18.unmapped,6.08E-05,control,male
Proteobacteria,24.unmapped,9.59E-05,control,fem
Proteobacteria,26.unmapped,0.000125885,control,fem
Proteobacteria,29.unmapped,8.05E-05,malt,fem
Proteobacteria,20.unmapped,0.000160139,control,male
Proteobacteria,21.unmapped,9.16E-05,malt,male
Proteobacteria,19.unmapped,7.54E-05,control,male
Proteobacteria,24.unmapped,6.59E-05,control,fem
Proteobacteria,25.unmapped,8.73E-05,control,fem
Proteobacteria,23.unmapped,4.54E-05,malt,male
Proteobacteria,21.unmapped,0.000113896,malt,male
Proteobacteria,26.unmapped,0.000123316,control,fem
Proteobacteria,20.unmapped,6.25E-05,control,male
Chloroflexi,20.unmapped,4.45E-05,control,male
Chloroflexi,17.unmapped,4.54E-05,control,male
Chloroflexi,18.unmapped,4.97E-05,control,male
Chloroflexi,24.unmapped,5.82E-05,control,fem
Chloroflexi,26.unmapped,4.80E-05,control,fem
Chloroflexi,29.unmapped,5.91E-05,malt,fem
Chloroflexi,28.unmapped,6.59E-05,malt,fem
Chloroflexi,21.unmapped,4.11E-05,malt,male
Firmicutes,25.unmapped,4.11E-05,control,fem
Actinobacteria,27.unmapped,8.82E-05,malt,fem
Proteobacteria,17.unmapped,0.000166134,control,male
Proteobacteria,18.unmapped,8.99E-05,control,male
Proteobacteria,22.unmapped,9.51E-05,malt,male
Proteobacteria,21.unmapped,0.000751885,malt,male
Proteobacteria,26.unmapped,0.00028003,control,fem
Proteobacteria,19.unmapped,0.00014815,control,male
Proteobacteria,29.unmapped,7.02E-05,malt,fem
Proteobacteria,20.unmapped,0.000186687,control,male
Proteobacteria,25.unmapped,0.000249201,control,fem
Proteobacteria,24.unmapped,0.000480418,control,fem
Proteobacteria,27.unmapped,0.000143012,malt,fem
