name,rank,id,species
Bacteria,superkingdom,2,Verminephrobacter eiseniae
Pseudomonadota,phylum,1224,Verminephrobacter eiseniae
Betaproteobacteria,class,28216,Verminephrobacter eiseniae
Burkholderiales,order,80840,Verminephrobacter eiseniae
Comamonadaceae,family,80864,Verminephrobacter eiseniae
Verminephrobacter,genus,364316,Verminephrobacter eiseniae
Verminephrobacter eiseniae,species,364317,Verminephrobacter eiseniae
cellular organisms,no rank,131567,Ramlibacter tataouinensis
Bacteria,superkingdom,2,Ramlibacter tataouinensis
Pseudomonadota,phylum,1224,Ramlibacter tataouinensis
Betaproteobacteria,class,28216,Ramlibacter tataouinensis
Burkholderiales,order,80840,Ramlibacter tataouinensis
Comamonadaceae,family,80864,Ramlibacter tataouinensis
Ramlibacter,genus,174951,Ramlibacter tataouinensis
Ramlibacter tataouinensis,species,94132,Ramlibacter tataouinensis
cellular organisms,no rank,131567,Comamonadaceae bacterium B1
Bacteria,superkingdom,2,Comamonadaceae bacterium B1
Pseudomonadota,phylum,1224,Comamonadaceae bacterium B1
Betaproteobacteria,class,28216,Comamonadaceae bacterium B1
Burkholderiales,order,80840,Comamonadaceae bacterium B1
Comamonadaceae,family,80864,Comamonadaceae bacterium B1
Serpentinimonas,genus,2490452,Comamonadaceae bacterium B1
Serpentinimonas maccroryi,species,1458426,Comamonadaceae bacterium B1
cellular organisms,no rank,131567,Melaminivora sp. SC2-9
Bacteria,superkingdom,2,Melaminivora sp. SC2-9
Pseudomonadota,phylum,1224,Melaminivora sp. SC2-9
Betaproteobacteria,class,28216,Melaminivora sp. SC2-9
Burkholderiales,order,80840,Melaminivora sp. SC2-9
Comamonadaceae,family,80864,Melaminivora sp. SC2-9
Melaminivora,genus,1649468,Melaminivora sp. SC2-9
unclassified Melaminivora,no rank,2641902,Melaminivora sp. SC2-9
Melaminivora sp. SC2-9,species,2109913,Melaminivora sp. SC2-9
cellular organisms,no rank,131567,Candidatus Symbiobacter mobilis
Bacteria,superkingdom,2,Candidatus Symbiobacter mobilis
Pseudomonadota,phylum,1224,Candidatus Symbiobacter mobilis
Betaproteobacteria,class,28216,Candidatus Symbiobacter mobilis
Burkholderiales,order,80840,Candidatus Symbiobacter mobilis
Comamonadaceae,family,80864,Candidatus Symbiobacter mobilis
Candidatus Symbiobacter,genus,1436289,Candidatus Symbiobacter mobilis
Candidatus Symbiobacter mobilis,species,1436290,Candidatus Symbiobacter mobilis
cellular organisms,no rank,131567,Leptothrix cholodnii
Bacteria,superkingdom,2,Leptothrix cholodnii
Pseudomonadota,phylum,1224,Leptothrix cholodnii
Betaproteobacteria,class,28216,Leptothrix cholodnii
Burkholderiales,order,80840,Leptothrix cholodnii
Burkholderiales genera incertae sedis,no rank,224471,Leptothrix cholodnii
Leptothrix,genus,88,Leptothrix cholodnii
Leptothrix cholodnii,species,34029,Leptothrix cholodnii
cellular organisms,no rank,131567,Mitsuaria sp. 7
Bacteria,superkingdom,2,Mitsuaria sp. 7
Pseudomonadota,phylum,1224,Mitsuaria sp. 7
Betaproteobacteria,class,28216,Mitsuaria sp. 7
Burkholderiales,order,80840,Mitsuaria sp. 7
Sphaerotilaceae,family,2975441,Mitsuaria sp. 7
Mitsuaria,genus,65047,Mitsuaria sp. 7
unclassified Mitsuaria,no rank,2648776,Mitsuaria sp. 7
Mitsuaria sp. 7,species,1658665,Mitsuaria sp. 7
cellular organisms,no rank,131567,Paucibacter sp. KCTC 42545
Bacteria,superkingdom,2,Paucibacter sp. KCTC 42545
Pseudomonadota,phylum,1224,Paucibacter sp. KCTC 42545
Betaproteobacteria,class,28216,Paucibacter sp. KCTC 42545
Burkholderiales,order,80840,Paucibacter sp. KCTC 42545
Burkholderiales genera incertae sedis,no rank,224471,Paucibacter sp. KCTC 42545
Paucibacter,genus,318147,Paucibacter sp. KCTC 42545
unclassified Paucibacter,no rank,2642959,Paucibacter sp. KCTC 42545
Paucibacter sp. KCTC 42545,species,1768242,Paucibacter sp. KCTC 42545
cellular organisms,no rank,131567,Rubrivivax gelatinosus
Bacteria,superkingdom,2,Rubrivivax gelatinosus
Pseudomonadota,phylum,1224,Rubrivivax gelatinosus
Betaproteobacteria,class,28216,Rubrivivax gelatinosus
Burkholderiales,order,80840,Rubrivivax gelatinosus
Sphaerotilaceae,family,2975441,Rubrivivax gelatinosus
Rubrivivax,genus,28067,Rubrivivax gelatinosus
Rubrivivax gelatinosus,species,28068,Rubrivivax gelatinosus
cellular organisms,no rank,131567,Methylibium petroleiphilum
Bacteria,superkingdom,2,Methylibium petroleiphilum
Pseudomonadota,phylum,1224,Methylibium petroleiphilum
Betaproteobacteria,class,28216,Methylibium petroleiphilum
Burkholderiales,order,80840,Methylibium petroleiphilum
Sphaerotilaceae,family,2975441,Methylibium petroleiphilum
Methylibium,genus,316612,Methylibium petroleiphilum
Methylibium petroleiphilum,species,105560,Methylibium petroleiphilum
cellular organisms,no rank,131567,Rhizobacter gummiphilus
Bacteria,superkingdom,2,Rhizobacter gummiphilus
Pseudomonadota,phylum,1224,Rhizobacter gummiphilus
Betaproteobacteria,class,28216,Rhizobacter gummiphilus
Burkholderiales,order,80840,Rhizobacter gummiphilus
Burkholderiales genera incertae sedis,no rank,224471,Rhizobacter gummiphilus
Rhizobacter,genus,212743,Rhizobacter gummiphilus
Rhizobacter gummiphilus,species,946333,Rhizobacter gummiphilus
cellular organisms,no rank,131567,Thiomonas sp. X19
Bacteria,superkingdom,2,Thiomonas sp. X19
Pseudomonadota,phylum,1224,Thiomonas sp. X19
Betaproteobacteria,class,28216,Thiomonas sp. X19
Burkholderiales,order,80840,Thiomonas sp. X19
Burkholderiales genera incertae sedis,no rank,224471,Thiomonas sp. X19
Thiomonas,genus,32012,Thiomonas sp. X19
unclassified Thiomonas,no rank,2625466,Thiomonas sp. X19
Thiomonas sp. X19,species,1050370,Thiomonas sp. X19
cellular organisms,no rank,131567,Roseateles depolymerans
Bacteria,superkingdom,2,Roseateles depolymerans
Pseudomonadota,phylum,1224,Roseateles depolymerans
Betaproteobacteria,class,28216,Roseateles depolymerans
Burkholderiales,order,80840,Roseateles depolymerans
Sphaerotilaceae,family,2975441,Roseateles depolymerans
Roseateles,genus,93681,Roseateles depolymerans
Roseateles depolymerans,species,76731,Roseateles depolymerans
cellular organisms,no rank,131567,Burkholderiales bacterium JOSHI_001
Bacteria,superkingdom,2,Burkholderiales bacterium JOSHI_001
Pseudomonadota,phylum,1224,Burkholderiales bacterium JOSHI_001
Betaproteobacteria,class,28216,Burkholderiales bacterium JOSHI_001
Burkholderiales,order,80840,Burkholderiales bacterium JOSHI_001
unclassified Burkholderiales,no rank,80841,Burkholderiales bacterium JOSHI_001
Burkholderiales bacterium JOSHI_001,species,864051,Burkholderiales bacterium JOSHI_001
cellular organisms,no rank,131567,Burkholderiales bacterium YL45
Bacteria,superkingdom,2,Burkholderiales bacterium YL45
Pseudomonadota,phylum,1224,Burkholderiales bacterium YL45
Betaproteobacteria,class,28216,Burkholderiales bacterium YL45
Burkholderiales,order,80840,Burkholderiales bacterium YL45
unclassified Burkholderiales,no rank,80841,Burkholderiales bacterium YL45
Burkholderiales bacterium YL45,species,1834205,Burkholderiales bacterium YL45
cellular organisms,no rank,131567,Burkholderiales bacterium GJ-E10
Bacteria,superkingdom,2,Burkholderiales bacterium GJ-E10
Pseudomonadota,phylum,1224,Burkholderiales bacterium GJ-E10
Betaproteobacteria,class,28216,Burkholderiales bacterium GJ-E10
Burkholderiales,order,80840,Burkholderiales bacterium GJ-E10
unclassified Burkholderiales,no rank,80841,Burkholderiales bacterium GJ-E10
Burkholderiales bacterium GJ-E10,species,1469502,Burkholderiales bacterium GJ-E10
cellular organisms,no rank,131567,Polyangium brachysporum
Bacteria,superkingdom,2,Polyangium brachysporum
Pseudomonadota,phylum,1224,Polyangium brachysporum
Betaproteobacteria,class,28216,Polyangium brachysporum
Burkholderiales,order,80840,Polyangium brachysporum
Sphaerotilaceae,family,2975441,Polyangium brachysporum
Schlegelella,genus,215579,Polyangium brachysporum
Schlegelella brevitalea,species,413882,Polyangium brachysporum
cellular organisms,no rank,131567,Massilia violaceinigra
Bacteria,superkingdom,2,Massilia violaceinigra
Pseudomonadota,phylum,1224,Massilia violaceinigra
Betaproteobacteria,class,28216,Massilia violaceinigra
Burkholderiales,order,80840,Massilia violaceinigra
Oxalobacteraceae,family,75682,Massilia violaceinigra
Massilia group,no rank,2895353,Massilia violaceinigra
Massilia,genus,149698,Massilia violaceinigra
Massilia violaceinigra,species,2045208,Massilia violaceinigra
cellular organisms,no rank,131567,Massilia sp. NR 4-1
Bacteria,superkingdom,2,Massilia sp. NR 4-1
Pseudomonadota,phylum,1224,Massilia sp. NR 4-1
Betaproteobacteria,class,28216,Massilia sp. NR 4-1
Burkholderiales,order,80840,Massilia sp. NR 4-1
Oxalobacteraceae,family,75682,Massilia sp. NR 4-1
Massilia group,no rank,2895353,Massilia sp. NR 4-1
Massilia,genus,149698,Massilia sp. NR 4-1
unclassified Massilia,no rank,2609279,Massilia sp. NR 4-1
Massilia sp. NR 4-1,species,1678028,Massilia sp. NR 4-1
cellular organisms,no rank,131567,Massilia timonae
Bacteria,superkingdom,2,Massilia timonae
Pseudomonadota,phylum,1224,Massilia timonae
Betaproteobacteria,class,28216,Massilia timonae
Burkholderiales,order,80840,Massilia timonae
Oxalobacteraceae,family,75682,Massilia timonae
Massilia group,no rank,2895353,Massilia timonae
Massilia,genus,149698,Massilia timonae
Massilia timonae,species,47229,Massilia timonae
cellular organisms,no rank,131567,Massilia sp. WG5
Bacteria,superkingdom,2,Massilia sp. WG5
Pseudomonadota,phylum,1224,Massilia sp. WG5
Betaproteobacteria,class,28216,Massilia sp. WG5
Burkholderiales,order,80840,Massilia sp. WG5
Oxalobacteraceae,family,75682,Massilia sp. WG5
Massilia group,no rank,2895353,Massilia sp. WG5
Massilia,genus,149698,Massilia sp. WG5
unclassified Massilia,no rank,2609279,Massilia sp. WG5
Massilia sp. WG5,species,1707785,Massilia sp. WG5
cellular organisms,no rank,131567,Massilia putida
Bacteria,superkingdom,2,Massilia putida
Pseudomonadota,phylum,1224,Massilia putida
Betaproteobacteria,class,28216,Massilia putida
Burkholderiales,order,80840,Massilia putida
Oxalobacteraceae,family,75682,Massilia putida
Massilia group,no rank,2895353,Massilia putida
Massilia,genus,149698,Massilia putida
Massilia putida,species,1141883,Massilia putida
cellular organisms,no rank,131567,Janthinobacterium sp. B9-8
Bacteria,superkingdom,2,Janthinobacterium sp. B9-8
Pseudomonadota,phylum,1224,Janthinobacterium sp. B9-8
Betaproteobacteria,class,28216,Janthinobacterium sp. B9-8
Burkholderiales,order,80840,Janthinobacterium sp. B9-8
Oxalobacteraceae,family,75682,Janthinobacterium sp. B9-8
Janthinobacterium,genus,29580,Janthinobacterium sp. B9-8
unclassified Janthinobacterium,no rank,2610881,Janthinobacterium sp. B9-8
Janthinobacterium sp. B9-8,species,1236179,Janthinobacterium sp. B9-8
cellular organisms,no rank,131567,Janthinobacterium agaricidamnosum
Bacteria,superkingdom,2,Janthinobacterium agaricidamnosum
Pseudomonadota,phylum,1224,Janthinobacterium agaricidamnosum
Betaproteobacteria,class,28216,Janthinobacterium agaricidamnosum
Burkholderiales,order,80840,Janthinobacterium agaricidamnosum
Oxalobacteraceae,family,75682,Janthinobacterium agaricidamnosum
Janthinobacterium,genus,29580,Janthinobacterium agaricidamnosum
Janthinobacterium agaricidamnosum,species,55508,Janthinobacterium agaricidamnosum
cellular organisms,no rank,131567,Janthinobacterium sp. Marseille
Bacteria,superkingdom,2,Janthinobacterium sp. Marseille
Pseudomonadota,phylum,1224,Janthinobacterium sp. Marseille
Betaproteobacteria,class,28216,Janthinobacterium sp. Marseille
Burkholderiales,order,80840,Janthinobacterium sp. Marseille
Oxalobacteraceae,family,75682,Janthinobacterium sp. Marseille
Janthinobacterium,genus,29580,Janthinobacterium sp. Marseille
unclassified Janthinobacterium,no rank,2610881,Janthinobacterium sp. Marseille
Janthinobacterium sp. Marseille,species,375286,Janthinobacterium sp. Marseille
cellular organisms,no rank,131567,Janthinobacterium sp. LM6
Bacteria,superkingdom,2,Janthinobacterium sp. LM6
Pseudomonadota,phylum,1224,Janthinobacterium sp. LM6
Betaproteobacteria,class,28216,Janthinobacterium sp. LM6
Burkholderiales,order,80840,Janthinobacterium sp. LM6
Oxalobacteraceae,family,75682,Janthinobacterium sp. LM6
Janthinobacterium,genus,29580,Janthinobacterium sp. LM6
unclassified Janthinobacterium,no rank,2610881,Janthinobacterium sp. LM6
Janthinobacterium sp. LM6,species,1938606,Janthinobacterium sp. LM6
cellular organisms,no rank,131567,Janthinobacterium svalbardensis
Bacteria,superkingdom,2,Janthinobacterium svalbardensis
Pseudomonadota,phylum,1224,Janthinobacterium svalbardensis
Betaproteobacteria,class,28216,Janthinobacterium svalbardensis
Burkholderiales,order,80840,Janthinobacterium svalbardensis
Oxalobacteraceae,family,75682,Janthinobacterium svalbardensis
Janthinobacterium,genus,29580,Janthinobacterium svalbardensis
Janthinobacterium svalbardensis,species,368607,Janthinobacterium svalbardensis
cellular organisms,no rank,131567,Collimonas fungivorans
Bacteria,superkingdom,2,Collimonas fungivorans
Pseudomonadota,phylum,1224,Collimonas fungivorans
Betaproteobacteria,class,28216,Collimonas fungivorans
Burkholderiales,order,80840,Collimonas fungivorans
Oxalobacteraceae,family,75682,Collimonas fungivorans
Collimonas,genus,202907,Collimonas fungivorans
Collimonas fungivorans,species,158899,Collimonas fungivorans
cellular organisms,no rank,131567,Herbaspirillum rubrisubalbicans
Bacteria,superkingdom,2,Herbaspirillum rubrisubalbicans
Pseudomonadota,phylum,1224,Herbaspirillum rubrisubalbicans
Betaproteobacteria,class,28216,Herbaspirillum rubrisubalbicans
Burkholderiales,order,80840,Herbaspirillum rubrisubalbicans
Oxalobacteraceae,family,75682,Herbaspirillum rubrisubalbicans
Herbaspirillum,genus,963,Herbaspirillum rubrisubalbicans
Herbaspirillum rubrisubalbicans,species,80842,Herbaspirillum rubrisubalbicans
cellular organisms,no rank,131567,Herbaspirillum hiltneri
Bacteria,superkingdom,2,Herbaspirillum hiltneri
Pseudomonadota,phylum,1224,Herbaspirillum hiltneri
Betaproteobacteria,class,28216,Herbaspirillum hiltneri
Burkholderiales,order,80840,Herbaspirillum hiltneri
Oxalobacteraceae,family,75682,Herbaspirillum hiltneri
Herbaspirillum,genus,963,Herbaspirillum hiltneri
Herbaspirillum hiltneri,species,341045,Herbaspirillum hiltneri
cellular organisms,no rank,131567,Herbaspirillum sp. meg3
Bacteria,superkingdom,2,Herbaspirillum sp. meg3
Pseudomonadota,phylum,1224,Herbaspirillum sp. meg3
Betaproteobacteria,class,28216,Herbaspirillum sp. meg3
Burkholderiales,order,80840,Herbaspirillum sp. meg3
Oxalobacteraceae,family,75682,Herbaspirillum sp. meg3
Herbaspirillum,genus,963,Herbaspirillum sp. meg3
unclassified Herbaspirillum,no rank,2624150,Herbaspirillum sp. meg3
Herbaspirillum sp. meg3,species,2025949,Herbaspirillum sp. meg3
cellular organisms,no rank,131567,Herminiimonas arsenicoxydans
Bacteria,superkingdom,2,Herminiimonas arsenicoxydans
Pseudomonadota,phylum,1224,Herminiimonas arsenicoxydans
Betaproteobacteria,class,28216,Herminiimonas arsenicoxydans
Burkholderiales,order,80840,Herminiimonas arsenicoxydans
Oxalobacteraceae,family,75682,Herminiimonas arsenicoxydans
Herminiimonas,genus,303379,Herminiimonas arsenicoxydans
Herminiimonas arsenicoxydans,species,204773,Herminiimonas arsenicoxydans
cellular organisms,no rank,131567,Oxalobacter formigenes
Bacteria,superkingdom,2,Oxalobacter formigenes
