case,genus,fraction_total_reads,group,sex
20.unmapped,Acidovorax,0.000305721,control,male
21.unmapped,Acidovorax,0.000265472,malt,male
27.unmapped,Acidovorax,0.000115609,malt,fem
19.unmapped,Acidovorax,0.000219228,control,male
20.unmapped,Acidovorax,0.000121603,control,male
17.unmapped,Acidovorax,0.000159283,control,male
24.unmapped,Acidovorax,8.14E-05,control,fem
18.unmapped,Acidovorax,0.000167847,control,male
22.unmapped,Acidovorax,0.000265472,malt,male
28.unmapped,Acidovorax,0.000166134,malt,fem
23.unmapped,Acidovorax,0.000712492,malt,male
29.unmapped,Acidovorax,0.000186687,malt,fem
21.unmapped,Acidovorax,7.79E-05,malt,male
26.unmapped,Acidovorax,0.000143869,control,fem
25.unmapped,Acidovorax,0.0001413,control,fem
28.unmapped,Acinetobacter,0.000637989,malt,fem
23.unmapped,Acinetobacter,0.000828101,malt,male
18.unmapped,Acinetobacter,0.001057606,control,male
20.unmapped,Acinetobacter,0.000137874,control,male
26.unmapped,Acinetobacter,0.000587464,control,fem
24.unmapped,Acinetobacter,0.000479562,control,fem
19.unmapped,Acinetobacter,0.000446164,control,male
25.unmapped,Acinetobacter,0.000291163,control,fem
21.unmapped,Acinetobacter,0.000438457,malt,male
27.unmapped,Acinetobacter,0.000846085,malt,fem
17.unmapped,Acinetobacter,0.001048186,control,male
22.unmapped,Acinetobacter,0.001515759,malt,male
29.unmapped,Acinetobacter,0.001314514,malt,fem
19.unmapped,Acinetobacter,5.48E-05,control,male
19.unmapped,Acinetobacter,7.79E-05,control,male
26.unmapped,Acinetobacter,0.00017641,control,fem
23.unmapped,Acinetobacter,0.000238925,malt,male
17.unmapped,Acinetobacter,0.000744178,control,male
28.unmapped,Acinetobacter,0.000933433,malt,fem
22.unmapped,Acinetobacter,0.000559204,malt,male
27.unmapped,Acinetobacter,0.000226936,malt,fem
19.unmapped,Acinetobacter,0.001538024,control,male
20.unmapped,Acinetobacter,0.000301439,control,male
21.unmapped,Acinetobacter,0.000208952,malt,male
29.unmapped,Acinetobacter,0.000379368,malt,fem
25.unmapped,Acinetobacter,0.000480418,control,fem
18.unmapped,Acinetobacter,0.000625143,control,male
24.unmapped,Acinetobacter,0.000375086,control,fem
28.unmapped,Acinetobacter,7.54E-05,malt,fem
18.unmapped,Acinetobacter,5.57E-05,control,male
24.unmapped,Acinetobacter,6.77E-05,control,fem
23.unmapped,Acinetobacter,0.000105332,malt,male
21.unmapped,Acinetobacter,5.48E-05,malt,male
17.unmapped,Acinetobacter,5.40E-05,control,male
22.unmapped,Acinetobacter,5.57E-05,malt,male
20.unmapped,Acinetobacter,6.34E-05,control,male
29.unmapped,Acinetobacter,8.14E-05,malt,fem
19.unmapped,Acinetobacter,5.22E-05,control,male
18.unmapped,Acinetobacter,4.88E-05,control,male
28.unmapped,Acinetobacter,0.000179836,malt,fem
19.unmapped,Acinetobacter,7.02E-05,control,male
20.unmapped,Acinetobacter,6.25E-05,control,male
27.unmapped,Acinetobacter,0.000136161,malt,fem
17.unmapped,Acinetobacter,0.000125885,control,male
22.unmapped,Acinetobacter,4.71E-05,malt,male
26.unmapped,Acinetobacter,0.000225223,control,fem
27.unmapped,Acinetobacter,4.11E-05,malt,fem
18.unmapped,Acinetobacter,8.14E-05,control,male
28.unmapped,Acinetobacter,0.000107901,malt,fem
19.unmapped,Acinetobacter,6.08E-05,control,male
17.unmapped,Acinetobacter,6.77E-05,control,male
29.unmapped,Acinetobacter,7.02E-05,malt,fem
22.unmapped,Acinetobacter,5.48E-05,malt,male
22.unmapped,Acinetobacter,4.80E-05,malt,male
29.unmapped,Acinetobacter,4.37E-05,malt,fem
19.unmapped,Acinetobacter,5.65E-05,control,male
28.unmapped,Acinetobacter,6.17E-05,malt,fem
17.unmapped,Acinetobacter,5.05E-05,control,male
18.unmapped,Acinetobacter,5.48E-05,control,male
22.unmapped,Acinetobacter,4.11E-05,malt,male
24.unmapped,Acinetobacter,6.17E-05,control,fem
29.unmapped,Acinetobacter,4.45E-05,malt,fem
19.unmapped,Acinetobacter,5.05E-05,control,male
17.unmapped,Acinetobacter,4.37E-05,control,male
28.unmapped,Acinetobacter,0.000196963,malt,fem
22.unmapped,Acinetobacter,0.000156714,malt,male
29.unmapped,Acinetobacter,0.000153289,malt,fem
18.unmapped,Acinetobacter,0.000137874,control,male
19.unmapped,Acinetobacter,0.000154145,control,male
17.unmapped,Acinetobacter,0.000125885,control,male
28.unmapped,Acinetobacter,5.14E-05,malt,fem
19.unmapped,Acinetobacter,6.68E-05,control,male
17.unmapped,Acinetobacter,4.54E-05,control,male
24.unmapped,Pauljensenia,5.05E-05,control,fem
26.unmapped,Pauljensenia,4.37E-05,control,fem
24.unmapped,Actinomyces,4.97E-05,control,fem
21.unmapped,Actinomyces,7.54E-05,malt,male
26.unmapped,Actinomyces,7.11E-05,control,fem
24.unmapped,Actinoplanes,9.08E-05,control,fem
17.unmapped,Actinoplanes,9.68E-05,control,male
21.unmapped,Actinoplanes,6.94E-05,malt,male
28.unmapped,Actinoplanes,0.000120747,malt,fem
25.unmapped,Actinoplanes,0.000107045,control,fem
25.unmapped,Actinoplanes,8.14E-05,control,fem
29.unmapped,Actinoplanes,0.000104476,malt,fem
26.unmapped,Actinoplanes,0.000208952,control,fem
20.unmapped,Actinoplanes,0.00013188,control,male
24.unmapped,Actinopolyspora,5.14E-05,control,fem
26.unmapped,Actinopolyspora,4.28E-05,control,fem
21.unmapped,Actinopolyspora,6.68E-05,malt,male
20.unmapped,Aerococcus,8.48E-05,control,male
22.unmapped,Aeromonas,0.000108758,malt,male
20.unmapped,Aeromonas,5.82E-05,control,male
24.unmapped,Aeromonas,5.74E-05,control,fem
26.unmapped,Aeromonas,8.48E-05,control,fem
24.unmapped,Aeromonas,6.34E-05,control,fem
21.unmapped,Aeromonas,8.31E-05,malt,male
22.unmapped,Aeromonas,0.000253483,malt,male
27.unmapped,Aeromonas,0.000107045,malt,fem
29.unmapped,Aeromonas,0.000208952,malt,fem
19.unmapped,Aeromonas,0.000170416,control,male
28.unmapped,Aeromonas,0.000275748,malt,fem
17.unmapped,Aeromonas,0.000290306,control,male
23.unmapped,Aeromonas,0.000121603,malt,male
18.unmapped,Aeromonas,0.000174698,control,male
26.unmapped,Aeromonas,4.20E-05,control,fem
23.unmapped,Agrobacterium,4.11E-05,malt,male
20.unmapped,Agrococcus,7.54E-05,control,male
27.unmapped,Agrococcus,5.05E-05,malt,fem
24.unmapped,Akkermansia,8.48E-05,control,fem
17.unmapped,Akkermansia,9.25E-05,control,male
25.unmapped,Akkermansia,8.14E-05,control,fem
19.unmapped,Akkermansia,8.82E-05,control,male
26.unmapped,Akkermansia,7.88E-05,control,fem
29.unmapped,Akkermansia,0.000119034,malt,fem
28.unmapped,Akkermansia,0.000123316,malt,fem
20.unmapped,Akkermansia,7.96E-05,control,male
27.unmapped,Akkermansia,6.59E-05,malt,fem
21.unmapped,Akkermansia,5.48E-05,malt,male
22.unmapped,Akkermansia,9.51E-05,malt,male
18.unmapped,Akkermansia,0.000101051,control,male
27.unmapped,Alcanivorax,5.57E-05,malt,fem
21.unmapped,Alicycliphilus,4.80E-05,malt,male
23.unmapped,Alicycliphilus,0.000184974,malt,male
20.unmapped,Alicycliphilus,7.71E-05,control,male
24.unmapped,Alicycliphilus,5.05E-05,control,fem
27.unmapped,Alicycliphilus,4.20E-05,malt,fem
25.unmapped,Alicycliphilus,8.22E-05,control,fem
19.unmapped,Aliarcobacter,4.11E-05,control,male
18.unmapped,Alistipes,5.99E-05,control,male
19.unmapped,Alkalitalea,4.11E-05,control,male
28.unmapped,Alkalitalea,4.97E-05,malt,fem
21.unmapped,Altererythrobacter,4.11E-05,malt,male
29.unmapped,Alteromonas,5.74E-05,malt,fem
17.unmapped,Anabaena,5.05E-05,control,male
17.unmapped,Anabaena,0.000996804,control,male
27.unmapped,Anabaena,0.00011304,malt,fem
26.unmapped,Anaerococcus,5.91E-05,control,fem
20.unmapped,Anaerococcus,0.00011304,control,male
26.unmapped,Anaerococcus,8.39E-05,control,fem
18.unmapped,Anaerolinea,4.37E-05,control,male
22.unmapped,Anaerolinea,5.65E-05,malt,male
28.unmapped,Anaerolinea,4.71E-05,malt,fem
17.unmapped,Anaerolinea,4.88E-05,control,male
29.unmapped,Anaerolinea,4.97E-05,malt,fem
29.unmapped,Anaeromyxobacter,4.28E-05,malt,fem
17.unmapped,Anaerostipes,5.65E-05,control,male
29.unmapped,Anaerostipes,6.59E-05,malt,fem
22.unmapped,Anaerostipes,6.08E-05,malt,male
26.unmapped,Aquabacterium,0.000132736,control,fem
20.unmapped,Aquabacterium,6.08E-05,control,male
29.unmapped,Aquabacterium,5.22E-05,malt,fem
21.unmapped,Aquabacterium,0.000121603,malt,male
18.unmapped,Aquabacterium,8.14E-05,control,male
22.unmapped,Aquabacterium,7.02E-05,malt,male
28.unmapped,Aquabacterium,4.88E-05,malt,fem
24.unmapped,Aquabacterium,9.16E-05,control,fem
25.unmapped,Aquabacterium,5.57E-05,control,fem
17.unmapped,Aquabacterium,6.94E-05,control,male
29.unmapped,Aquaspirillum,6.08E-05,malt,fem
22.unmapped,Aquaspirillum,5.74E-05,malt,male
28.unmapped,Aquaspirillum,4.88E-05,malt,fem
17.unmapped,Aquaspirillum,4.80E-05,control,male
27.unmapped,Arachidicoccus,8.82E-05,malt,fem
24.unmapped,Arachidicoccus,7.02E-05,control,fem
18.unmapped,Arachidicoccus,0.000155001,control,male
17.unmapped,Arachidicoccus,0.000193538,control,male
29.unmapped,Arachidicoccus,0.000156714,malt,fem
22.unmapped,Arachidicoccus,0.00015757,malt,male
19.unmapped,Arachidicoccus,9.59E-05,control,male
25.unmapped,Arachidicoccus,8.65E-05,control,fem
21.unmapped,Arachidicoccus,5.82E-05,malt,male
28.unmapped,Arachidicoccus,0.00012931,malt,fem
20.unmapped,Arachidicoccus,6.34E-05,control,male
26.unmapped,Arachidicoccus,5.82E-05,control,fem
22.unmapped,Arachidicoccus,0.00014815,malt,male
18.unmapped,Arachidicoccus,0.000108758,control,male
17.unmapped,Arachidicoccus,0.000113896,control,male
26.unmapped,Arachidicoccus,8.56E-05,control,fem
19.unmapped,Arachidicoccus,9.76E-05,control,male
28.unmapped,Arachidicoccus,0.000105332,malt,fem
20.unmapped,Arachidicoccus,5.14E-05,control,male
29.unmapped,Arachidicoccus,0.00012246,malt,fem
27.unmapped,Arachidicoccus,6.94E-05,malt,fem
21.unmapped,Arachidicoccus,7.02E-05,malt,male
23.unmapped,Arachidicoccus,4.54E-05,malt,male
24.unmapped,Arachidicoccus,5.40E-05,control,fem
27.unmapped,Arcanobacterium,0.000208952,malt,fem
20.unmapped,Arcanobacterium,5.14E-05,control,male
26.unmapped,Arcanobacterium,0.00025177,control,fem
24.unmapped,Arcanobacterium,0.000134449,control,fem
27.unmapped,Arenibacter,6.77E-05,malt,fem
18.unmapped,Aromatoleum,0.000117321,control,male
25.unmapped,Arthrobacter,8.05E-05,control,fem
24.unmapped,Arthrobacter,0.000160996,control,fem
19.unmapped,Arthrobacter,6.17E-05,control,male
27.unmapped,Arthrobacter,0.000109614,malt,fem
20.unmapped,Arthrobacter,0.000135305,control,male
29.unmapped,Arthrobacter,5.48E-05,malt,fem
21.unmapped,Arthrobacter,0.000147294,malt,male
28.unmapped,Arthrobacter,5.40E-05,malt,fem
17.unmapped,Arthrobacter,7.79E-05,control,male
18.unmapped,Arthrobacter,7.88E-05,control,male
27.unmapped,Arthrobacter,4.20E-05,malt,fem
29.unmapped,Asticcacaulis,5.57E-05,malt,fem
26.unmapped,Asticcacaulis,4.88E-05,control,fem
20.unmapped,Asticcacaulis,5.91E-05,control,male
25.unmapped,Asticcacaulis,7.62E-05,control,fem
19.unmapped,Asticcacaulis,5.82E-05,control,male
23.unmapped,Asticcacaulis,0.000221797,malt,male
27.unmapped,Asticcacaulis,4.45E-05,malt,fem
22.unmapped,Asticcacaulis,5.74E-05,malt,male
21.unmapped,Aurantimicrobium,4.62E-05,malt,male
27.unmapped,Azoarcus,6.77E-05,malt,fem
18.unmapped,Azoarcus,0.000137018,control,male
27.unmapped,Azoarcus,5.91E-05,malt,fem
22.unmapped,Azospira,4.20E-05,malt,male
18.unmapped,Azospira,5.99E-05,control,male
28.unmapped,Azospira,5.22E-05,malt,fem
27.unmapped,Azospira,7.19E-05,malt,fem
21.unmapped,Gammaretrovirus,5.65E-05,malt,male
20.unmapped,Bacillus,0.002538254,control,male
19.unmapped,Bacillus,0.004726256,control,male
26.unmapped,Bacillus,0.001883138,control,fem
17.unmapped,Bacillus,0.002910771,control,male
25.unmapped,Bacillus,0.001095286,control,fem
22.unmapped,Bacillus,0.004136223,malt,male
18.unmapped,Bacillus,0.003165966,control,male
23.unmapped,Bacillus,0.000667105,malt,male
28.unmapped,Bacillus,0.003517074,malt,fem
24.unmapped,Bacillus,0.002789167,control,fem
27.unmapped,Bacillus,0.002451761,malt,fem
29.unmapped,Bacillus,0.003029805,malt,fem
21.unmapped,Bacillus,0.001326503,malt,male
28.unmapped,Bacillus,0.000579756,malt,fem
21.unmapped,Bacillus,0.000598596,malt,male
18.unmapped,Bacillus,0.000897466,control,male
25.unmapped,Bacillus,0.00051296,control,fem
19.unmapped,Bacillus,0.001383879,control,male
29.unmapped,Bacillus,0.000827245,malt,fem
17.unmapped,Bacillus,0.001240867,control,male
20.unmapped,Bacillus,0.000620862,control,male
23.unmapped,Bacillus,0.000130167,malt,male
26.unmapped,Bacillus,0.001037909,control,fem
22.unmapped,Bacillus,0.001497775,malt,male
24.unmapped,Bacillus,0.000750172,control,fem
27.unmapped,Bacillus,0.000632851,malt,fem
26.unmapped,Bacillus,0.000852935,control,fem
28.unmapped,Bacillus,0.001191198,malt,fem
21.unmapped,Bacillus,0.000759592,malt,male
29.unmapped,Bacillus,0.001090147,malt,fem
19.unmapped,Bacillus,0.001060175,control,male
22.unmapped,Bacillus,0.000817825,malt,male
17.unmapped,Bacillus,0.000810117,control,male
20.unmapped,Bacillus,0.000659398,control,male
24.unmapped,Bacillus,0.000739039,control,fem
18.unmapped,Bacillus,0.000772438,control,male
25.unmapped,Bacillus,0.001423272,control,fem
27.unmapped,Bacillus,0.000977964,malt,fem
23.unmapped,Bacillus,0.000221797,malt,male
18.unmapped,Bacillus,0.002105791,control,male
25.unmapped,Bacillus,0.00085893,control,fem
21.unmapped,Bacillus,0.001865154,malt,male
17.unmapped,Bacillus,0.001603964,control,male
24.unmapped,Bacillus,0.00125885,control,fem
19.unmapped,Bacillus,0.000890615,control,male
29.unmapped,Bacillus,0.001860872,malt,fem
23.unmapped,Bacillus,0.000370804,malt,male
27.unmapped,Bacillus,0.001344487,malt,fem
20.unmapped,Bacillus,0.001127827,control,male
28.unmapped,Bacillus,0.002170018,malt,fem
22.unmapped,Bacillus,0.001986757,malt,male
26.unmapped,Bacillus,0.000751028,control,fem
25.unmapped,Bacillus,0.000333981,control,fem
20.unmapped,Bacillus,0.000296301,control,male
24.unmapped,Bacillus,0.000215803,control,fem
18.unmapped,Bacillus,0.000117321,control,male
28.unmapped,Bacillus,0.000416191,malt,fem
19.unmapped,Bacillus,0.000158427,control,male
21.unmapped,Bacillus,0.000337406,malt,male
17.unmapped,Bacillus,0.000240637,control,male
22.unmapped,Bacillus,6.34E-05,malt,male
29.unmapped,Bacillus,0.000419617,malt,fem
21.unmapped,Bacillus,0.000244063,malt,male
24.unmapped,Bacillus,0.000415335,control,fem
22.unmapped,Bacillus,0.000497546,malt,male
19.unmapped,Bacillus,0.000263759,control,male
25.unmapped,Bacillus,0.000412766,control,fem
17.unmapped,Bacillus,0.000761305,control,male
23.unmapped,Bacillus,8.14E-05,malt,male
26.unmapped,Bacillus,0.001070451,control,fem
28.unmapped,Bacillus,0.000425611,malt,fem
20.unmapped,Bacillus,0.000152432,control,male
27.unmapped,Bacillus,0.000254339,malt,fem
29.unmapped,Bacillus,0.000476993,malt,fem
18.unmapped,Bacillus,0.000676525,control,male
17.unmapped,Bacillus,0.000189256,control,male
22.unmapped,Bacillus,0.000568624,malt,male
20.unmapped,Bacillus,7.62E-05,control,male
25.unmapped,Bacillus,5.91E-05,control,fem
28.unmapped,Bacillus,0.000315997,malt,fem
24.unmapped,Bacillus,0.000246632,control,fem
18.unmapped,Bacillus,0.000238068,control,male
26.unmapped,Bacillus,0.000182405,control,fem
29.unmapped,Bacillus,0.001177496,malt,fem
19.unmapped,Bacillus,0.000189256,control,male
21.unmapped,Bacillus,0.000100194,malt,male
27.unmapped,Bacillus,0.000152432,malt,fem
24.unmapped,Bacillus,5.14E-05,control,fem
18.unmapped,Bacillus,5.65E-05,control,male
22.unmapped,Bacillus,7.54E-05,malt,male
26.unmapped,Bacillus,7.79E-05,control,fem
21.unmapped,Bacillus,0.000172985,malt,male
19.unmapped,Bacillus,4.11E-05,control,male
28.unmapped,Bacillus,6.68E-05,malt,fem
17.unmapped,Bacillus,6.34E-05,control,male
20.unmapped,Bacillus,4.88E-05,control,male
29.unmapped,Bacillus,5.65E-05,malt,fem
27.unmapped,Bacillus,4.62E-05,malt,fem
25.unmapped,Bacillus,9.33E-05,control,fem
29.unmapped,Bacteriovorax,6.94E-05,malt,fem
18.unmapped,Bacteriovorax,5.74E-05,control,male
17.unmapped,Bacteriovorax,7.71E-05,control,male
19.unmapped,Bacteriovorax,6.85E-05,control,male
22.unmapped,Bacteriovorax,7.36E-05,malt,male
28.unmapped,Bacteriovorax,8.73E-05,malt,fem
17.unmapped,Phocaeicola,6.51E-05,control,male
22.unmapped,Phocaeicola,6.59E-05,malt,male
28.unmapped,Phocaeicola,6.08E-05,malt,fem
19.unmapped,Phocaeicola,4.88E-05,control,male
29.unmapped,Phocaeicola,5.14E-05,malt,fem
18.unmapped,Phocaeicola,5.14E-05,control,male
19.unmapped,Bacteroides,9.33E-05,control,male
22.unmapped,Bacteroides,7.71E-05,malt,male
29.unmapped,Bacteroides,8.48E-05,malt,fem
22.unmapped,Phocaeicola,6.94E-05,malt,male
19.unmapped,Phocaeicola,5.40E-05,control,male
28.unmapped,Phocaeicola,5.57E-05,malt,fem
18.unmapped,Phocaeicola,4.71E-05,control,male
17.unmapped,Phocaeicola,5.31E-05,control,male
29.unmapped,Phocaeicola,6.34E-05,malt,fem
23.unmapped,Phocaeicola,7.45E-05,malt,male
17.unmapped,Phocaeicola,0.000243206,control,male
18.unmapped,Phocaeicola,0.00018583,control,male
26.unmapped,Phocaeicola,9.42E-05,control,fem
19.unmapped,Phocaeicola,0.000190112,control,male
29.unmapped,Phocaeicola,0.000214947,malt,fem
28.unmapped,Phocaeicola,0.000268897,malt,fem
24.unmapped,Phocaeicola,0.000101907,control,fem
21.unmapped,Phocaeicola,8.05E-05,malt,male
20.unmapped,Phocaeicola,6.42E-05,control,male
27.unmapped,Phocaeicola,9.59E-05,malt,fem
22.unmapped,Phocaeicola,0.00023293,malt,male
25.unmapped,Phocaeicola,5.82E-05,control,fem
21.unmapped,Barnesiella,4.11E-05,malt,male
19.unmapped,Bartonella,0.000209808,control,male
21.unmapped,Bartonella,0.000130167,malt,male
19.unmapped,Bdellovibrio,4.11E-05,control,male
26.unmapped,Bdellovibrio,5.40E-05,control,fem
25.unmapped,Bdellovibrio,6.59E-05,control,fem
20.unmapped,Bdellovibrio,4.88E-05,control,male
24.unmapped,Bdellovibrio,6.42E-05,control,fem
21.unmapped,Bdellovibrio,5.74E-05,malt,male
28.unmapped,Pseudobdellovibrio,4.54E-05,malt,fem
22.unmapped,Pseudobdellovibrio,4.20E-05,malt,male
20.unmapped,Pseudobdellovibrio,4.37E-05,control,male
28.unmapped,Bernardetia,4.97E-05,malt,fem
17.unmapped,Beutenbergia,5.57E-05,control,male
24.unmapped,Beutenbergia,4.37E-05,control,fem
26.unmapped,Bifidobacterium,5.99E-05,control,fem
28.unmapped,Bifidobacterium,0.000102763,malt,fem
18.unmapped,Bifidobacterium,8.22E-05,control,male
22.unmapped,Bifidobacterium,4.88E-05,malt,male
27.unmapped,Bifidobacterium,0.000147294,malt,fem
29.unmapped,Bifidobacterium,7.36E-05,malt,fem
21.unmapped,Bifidobacterium,6.59E-05,malt,male
19.unmapped,Bifidobacterium,7.79E-05,control,male
17.unmapped,Bifidobacterium,0.000124172,control,male
20.unmapped,Bifidobacterium,5.99E-05,control,male
25.unmapped,Bifidobacterium,7.79E-05,control,fem
24.unmapped,Bifidobacterium,8.48E-05,control,fem
22.unmapped,Bifidobacterium,7.54E-05,malt,male
24.unmapped,Bifidobacterium,0.000100194,control,fem
18.unmapped,Bifidobacterium,5.14E-05,control,male
20.unmapped,Blastococcus,7.02E-05,control,male
27.unmapped,Blastococcus,5.48E-05,malt,fem
25.unmapped,Blautia,9.33E-05,control,fem
19.unmapped,Blautia,0.00028945,control,male
28.unmapped,Blautia,0.000672243,malt,fem
29.unmapped,Blautia,0.000226079,malt,fem
27.unmapped,Blautia,0.000250057,malt,fem
22.unmapped,Blautia,0.000282599,malt,male
17.unmapped,Blautia,0.000470142,control,male
26.unmapped,Blautia,0.000162709,control,fem
18.unmapped,Blautia,0.00035539,control,male
24.unmapped,Blautia,0.000365666,control,fem
26.unmapped,Bordetella,5.40E-05,control,fem
25.unmapped,Bordetella,5.22E-05,control,fem
23.unmapped,Bordetella,5.05E-05,malt,male
26.unmapped,Bosea,4.28E-05,control,fem
17.unmapped,Bradyrhizobium,5.22E-05,control,male
19.unmapped,Bradyrhizobium,9.51E-05,control,male
22.unmapped,Bradyrhizobium,4.88E-05,malt,male
25.unmapped,Bradyrhizobium,0.000130167,control,fem
18.unmapped,Bradyrhizobium,6.08E-05,control,male
24.unmapped,Bradyrhizobium,9.59E-05,control,fem
26.unmapped,Bradyrhizobium,0.000125885,control,fem
29.unmapped,Bradyrhizobium,8.05E-05,malt,fem
20.unmapped,Bradyrhizobium,0.000160139,control,male
21.unmapped,Bradyrhizobium,9.16E-05,malt,male
19.unmapped,Bradyrhizobium,7.54E-05,control,male
24.unmapped,Bradyrhizobium,6.59E-05,control,fem
25.unmapped,Bradyrhizobium,8.73E-05,control,fem
23.unmapped,Bradyrhizobium,4.54E-05,malt,male
21.unmapped,Bradyrhizobium,0.000113896,malt,male
26.unmapped,Bradyrhizobium,0.000123316,control,fem
20.unmapped,Bradyrhizobium,6.25E-05,control,male
20.unmapped,Brevefilum,4.45E-05,control,male
17.unmapped,Brevefilum,4.54E-05,control,male
18.unmapped,Brevefilum,4.97E-05,control,male
24.unmapped,Brevefilum,5.82E-05,control,fem
26.unmapped,Brevefilum,4.80E-05,control,fem
29.unmapped,Brevefilum,5.91E-05,malt,fem
28.unmapped,Brevefilum,6.59E-05,malt,fem
21.unmapped,Brevefilum,4.11E-05,malt,male
25.unmapped,Brevibacillus,4.11E-05,control,fem
27.unmapped,Brevibacterium,8.82E-05,malt,fem
17.unmapped,Brevundimonas,0.000166134,control,male
18.unmapped,Brevundimonas,8.99E-05,control,male
22.unmapped,Brevundimonas,9.51E-05,malt,male
21.unmapped,Brevundimonas,0.000751885,malt,male
26.unmapped,Brevundimonas,0.00028003,control,fem
19.unmapped,Brevundimonas,0.00014815,control,male
29.unmapped,Brevundimonas,7.02E-05,malt,fem
20.unmapped,Brevundimonas,0.000186687,control,male
25.unmapped,Brevundimonas,0.000249201,control,fem
24.unmapped,Brevundimonas,0.000480418,control,fem
27.unmapped,Brevundimonas,0.000143012,malt,fem
28.unmapped,Brevundimonas,0.000121603,malt,fem
24.unmapped,Brevundimonas,0.000108758,control,fem
26.unmapped,Brevundimonas,7.02E-05,control,fem
22.unmapped,Brevundimonas,7.62E-05,malt,male
21.unmapped,Brevundimonas,0.000210665,malt,male
21.unmapped,Brevundimonas,4.45E-05,malt,male
26.unmapped,Brevundimonas,4.28E-05,control,fem
17.unmapped,Brevundimonas,4.11E-05,control,male
23.unmapped,Brevundimonas,7.28E-05,malt,male
29.unmapped,Brevundimonas,5.31E-05,malt,fem
